msize rsa_r rsa_d rsa_dif ring_r ring_d ring_dif rdouble_r rdouble_d rdouble_dif
# 4 35.56 33.53 -0.060542797 34.59 33.83 -0.022465268 35.51 34.77 -0.021282715
# 8 34.06 32.22 -0.057107387 32.12 32.5 0.011692308 32.68 33.77 0.032277169
# 16 33.44 33.57 0.003872505 32.89 34.39 0.043617331 35.12 34.08 -0.030516432
# 32 33.62 33.3 -0.00960961 33.03 34.52 0.043163384 34.27 34.33 0.001747742
# 64 34.11 33.73 -0.011265935 33.66 33.64 -0.00059453 33.77 36.65 0.078581173
# 128 37.84 34.66 -0.091748413 34.61 35.03 0.011989723 34.61 34.61 0
# 256 40.94 40.52 -0.010365252 101.56 95.95 -0.058467952 35.96 35.73 -0.006437168
4 35.56 33.53 nan 34.59 33.83 -0.022465268 35.51 34.77 -0.021282715
8 34.06 32.22 nan 32.12 32.5 0.011692308 32.68 33.77 0.032277169
16 33.44 33.57 nan 32.89 34.39 0.043617331 35.12 34.08 -0.030516432
32 33.62 33.3 nan 33.03 34.52 0.043163384 34.27 34.33 0.001747742
64 34.11 33.73 nan 33.66 33.64 -0.00059453 33.77 36.65 0.078581173
128 37.84 34.66 nan 34.61 35.03 0.011989723 34.61 34.61 0
256 40.94 40.52 nan 101.56 95.95 -0.058467952 35.96 35.73 -0.006437168
512 45.43 42.37 -0.072220911 97.4 96.47 -0.009640303 36.78 36.89 0.002981838
1024 45.24 44.65 -0.013213886 100.75 96.71 -0.041774377 38.64 38.99 0.008976661
2048 76.25 46.08 -0.654730903 122.18 122.26 0.000654343 44.37 46.25 0.040648649
4096 63.46 50.64 -0.253159558 112.13 114.88 0.023938022 53.14 53.99 0.015743656
8192 62.28 62.14 -0.002252977 127.56 125.17 -0.019094032 77.19 74.15 -0.040997977
16384 82.69 90.88 0.090118838 154.16 152.89 -0.008306626 118.27 114.37 -0.034099851
32768 120.17 121.66 0.012247246 194.78 195.2 0.002151639 194.5 165.89 -0.172463681
65536 195.13 193.02 -0.01093151 271.93 271.26 -0.002469955 349.06 293.98 -0.187359684
131072 341.38 340.45 -0.002731679 427.29 424.63 -0.006264277 724.61 555.52 -0.30438148
262144 634.01 629.31 -0.007468497 731.24 730.34 -0.001232303 1286.82 1139.05 -0.129730916
524288 1179.7 1180.41 0.000601486 1321.74 1322.05 0.000234484 2631.65 2308.68 -0.139893792
1048576 2377.38 2385.95 0.003591861 2470.4 2457.38 -0.005298326 5140.3 4592.64 -0.119247317
2097152 4289.37 4288.95 -9.79261E-05 4315.98 4314.48 -0.000347666 9779.93 8015.23 -0.220168354
4194304 8180.09 8170.53 -0.001170059 8033.6 8012.48 -0.002635888 19562.85 16770.25 -0.166521072
8388608 16937.76 16397.78 -0.032930067 15919.41 16026.32 0.006670901 41793.75 34403.36 -0.214815937
16777216 33155.66 32748.83 -0.012422734 33588.52 33874.4 0.008439411 86375.97 70999.01 -0.216579921
33554432 73653.29 73342.88 -0.004232313 76816.33 78226.59 0.018027885 172460.17 163889.95 -0.052292529
67108864 149895.42 149692.35 -0.001356582 155524.03 155676.02 0.000976322 348371.84 331996.66 -0.049323328
134217728 294930.43 294456.59 -0.001609202 310870.66 310170.15 -0.00225847 691885.25 660682.28 -0.047228405
# 268435456 584705.32 583287.72 -0.002430361 631906.6 630802.56 -0.001750215 1380059.18 1316130.09 -0.048573534
