msize rsa_r rsa_d rsa_pdif ring_r ring_d ring_pdif rdouble_r rdouble_d rdouble_pdif
# 4 18.78 27.65 0.32079566 18.41 24.79 0.257361839 21.81 19.34 -0.127714581
# 8 17.16 23.02 0.254561251 18.64 25.75 0.276116505 19.14 22.3 0.141704036
# 16 17.58 19.02 0.075709779 18.45 18.57 0.006462036 20.81 18.77 -0.10868407
# 32 17.69 18.96 0.066983122 18.15 20.03 0.093859211 19.7 20.17 0.023301934
# 64 19.79 26.1 0.241762452 21.23 26.99 0.213412375 24.02 28.97 0.170866414
# 128 44.88 24.72 -0.815533981 21.95 24.69 0.110976104 22.72 26 0.126153846
# 256 29.91 30.52 0.019986894 24.21 29.78 0.187038281 25.13 31.32 0.197637292
# 512 28.83 32 0.0990625 27.64 31.68 0.127525253 30.43 32.64 0.067708333
# 1024 43.37 45.35 0.043660419 38.48 45.87 0.161107478 39.81 51.65 0.229235237
# 2048 99.38 71.03 -0.399127129 58.44 69.44 0.158410138 62.57 68.34 0.084430787
# 4096 45.31 64.22 0.294456556 1178.08 3568.61 0.669877067 120.34 126.65 0.049822345
4 18.78 27.65 nan 18.41 24.79 0.257361839 21.81 19.34 -0.127714581
8 17.16 23.02 nan 18.64 25.75 0.276116505 19.14 22.3 0.141704036
16 17.58 19.02 nan 18.45 18.57 0.006462036 20.81 18.77 -0.10868407
32 17.69 18.96 nan 18.15 20.03 0.093859211 19.7 20.17 0.023301934
64 19.79 26.1 nan 21.23 26.99 0.213412375 24.02 28.97 0.170866414
128 44.88 24.72 nan 21.95 24.69 0.110976104 22.72 26 0.126153846
256 29.91 30.52 nan 24.21 29.78 0.187038281 25.13 31.32 0.197637292
512 28.83 32 nan 7.64 31.68 0.127525253 30.43 32.64 0.067708333
1024 43.37 45.35 nan 38.48 45.87 0.161107478 39.81 51.65 0.229235237
2048 99.38 71.03 nan 58.44 69.44 0.158410138 62.57 68.34 0.084430787
4096 45.31 64.22 nan 1178.08 3568.61 0.669877067 120.34 126.65 0.049822345
8192 58.61 82.24 0.287329767 1088.01 3491.59 0.688391249 238.41 239.15 0.003094292
16384 62.74 131.84 0.524120146 1120.34 3590.65 0.68798407 462.31 462.95 0.001382439
32768 66.95 229 0.707641921 1410.49 3690.46 0.617801033 959.02 934.25 -0.026513246
65536 125.67 437.47 0.712734588 1893.26 3916.95 0.516649434 2031.28 1932.7 -0.051006364
131072 156.98 903.14 0.826184202 2097.47 4069.78 0.484623247 4004.99 4034.37 0.007282426
262144 269.19 2013.61 0.866314728 4589.24 5529.29 0.170012786 7673.6 7700.03 0.003432454
524288 628.38 4130.46 0.847866824 2474.22 6325.61 0.608856695 15366.22 15331.27 -0.002279655
1048576 1527.1 8185.15 0.81343042 3101.9 9060.77 0.657656027 31070.3 31342.11 0.008672358
2097152 4096.63 16824.6 0.756509516 6214 13893.2 0.552730832 65241.46 65904.27 0.010057163
4194304 8547.23 31803.5 0.731248762 9383.78 26854.25 0.650566298 134023.94 134481.38 0.003401512
8388608 18456.18 65796.6 0.719496448 16777.94 52464.72 0.680205288 269246.87 273203.86 0.014483653
16777216 38203.76 131828.08 0.710200133 31024.56 102223.54 0.696502782 541015.84 550712.76 0.017607945
33554432 80981.1 275469.64 0.706025317 60951.52 201026.02 0.696797857 1097946.39 1086296.77 -0.01072416
67108864 164068.62 540153.73 0.696255694 122792.45 398834.73 0.692121972 2187582.62 2180391.31 -0.003298174
134217728 324631.17 1064140.79 0.694935883 244083.07 794246.65 0.692686057 4371287.13 4374676.14 0.000774688
