msize bin_r bin_d bin_dif k_r k_d k_dif scag_r scag_d scag_dif
1 16.41 17.7 0.072881356 14.44 14.15 -0.0204947 51.88 47.86 -0.083994985
2 22.4 24.36 0.08045977 21.27 20.06 -0.060319043 75.8 76.46 0.008631964
4 20.42 24.38 0.16242822 24.22 21.14 -0.145695364 74.96 84.01 0.107725271
8 22.14 24.37 0.09150595 21.82 19.98 -0.092092092 78.8 78.02 -0.009997437
16 14.92 17.39 0.142035653 13.98 14.03 0.003563792 45.23 46.88 0.035196246
32 15.51 17.55 0.116239316 13.89 14.62 0.049931601 46.39 47.44 0.022133221
64 19.11 22.81 0.162209557 17.14 18.41 0.068984248 49.16 34.67 -0.417940583
128 21.11 24.36 0.133415435 17.6 20.22 0.129574679 38.51 40.02 0.037731134
256 20.51 28.98 0.292270531 17.23 19.44 0.113683128 76.47 42.06 -0.818116976
512 28.47 40.94 0.304592086 24.45 26.39 0.073512694 40.68 39.52 -0.029352227
1024 35.89 58.51 0.386600581 30.28 31.24 0.030729834 45.1 45.79 0.015068792
2048 56.43 99.13 0.430747503 49.39 50.44 0.020816812 66.55 64.38 -0.03370612
4096 100.42 198.4 0.493850806 87.8 90.27 0.027362357 102.34 94.84 -0.079080557
8192 181.12 363.11 0.501197984 161.34 160.88 -0.002859274 158.8 147.74 -0.074861243
16384 282.72 601.9 0.530287423 236 230.32 -0.024661341 277.34 256.02 -0.083274744
32768 560.73 1219.24 0.54009875 470.44 454.59 -0.034866583 528.92 485.67 -0.089052237
65536 1095.96 2525.49 0.56604065 914.67 887.64 -0.030451534 1029.19 967.82 -0.063410552
131072 2205.58 5220.36 0.577504233 1839.54 1785.79 -0.030098724 2062 1941.06 -0.062306163
262144 4422.45 10448.56 0.576740718 3705.61 3597.59 -0.030025656 4163.28 3907.16 -0.065551449
524288 8798.43 20927.01 0.579565834 7334.06 7135.19 -0.027871718 4518.87 4215.4 -0.071990796
1048576 988.59 1789.06 0.447424905 874.99 731.19 -0.196665709 4921.54 4684.72 -0.05055158
2097152 1497.22 3333.87 0.550906304 1297.98 1282.76 -0.011865041 5468.29 5550.43 0.014798853
4194304 2580.43 5839.18 0.558083498 2480.99 2558.37 0.030245821 5938.4 6994.14 0.150946364
8388608 4826.31 11466.74 0.579103564 5104.34 5077.79 -0.005228653 6856.89 9833.82 0.302723662
16777216 9528.15 22684.86 0.579977571 10334.36 10184.61 -0.014703558 7054.55 13862.05 0.49108898
33554432 18878.5 45871.29 0.588446281 20725.7 20266.08 -0.022679275 13124.45 26432.2 0.503467362
67108864 37721.06 93875.53 0.598180058 41599.02 41492.32 -0.00257156 25518.08 50896.5 0.498628
134217728 78078.61 188439.67 0.585657256 83372.85 82626.78 -0.009029397 51120.58 101981.54 0.498727123
