msize	bin_r	bin_d	bin_dif	k_r	k_d	k_dif	scag_r	scag_d	scag_dif
1	8.47	9.52	0.110294118	5.72	7.63	0.250327654	214.13	216.15	0.009345362
2	8.49	9.24	0.081168831	5.7	7.57	0.247027741	214.37	215.66	0.005981638
4	8.71	9.08	0.040748899	5.81	7.43	0.218034993	219.26	215.78	-0.016127537
8	8.55	8.53	-0.002344666	7.04	7.75	0.091612903	221.01	221.66	0.002932419
16	8.62	8.59	-0.003492433	5.62	7.71	0.271076524	221.78	221.12	-0.002984805
32	8.92	9.28	0.038793103	5.87	8.12	0.277093596	229.55	226.4	-0.013913428
64	9.11	9.61	0.052029136	5.94	8.55	0.305263158	231.81	230.31	-0.006512961
128	10.26	10.53	0.025641026	18.03	9.56	-0.885983264	242.5	239.11	-0.014177575
256	12.1	12.19	0.007383101	7.64	11.79	0.351993215	266.72	263.68	-0.011529126
512	13.24	12.96	-0.021604938	8.01	14.45	0.44567474	272.26	268.83	-0.012758993
1024	16.13	14.83	-0.087660148	9.78	22.72	0.569542254	27.28	27.19	-0.00331004
2048	18.31	18.62	0.016648765	11.8	30.04	0.607190413	28.37	28.97	0.02071108
4096	25.86	26.6	0.027819549	18.31	52.84	0.65348221	29.49	30.37	0.028975963
8192	39.98	37.79	-0.057951839	25.08	96.44	0.739941933	41.17	35.44	-0.161681716
16384	61.55	62.57	0.016301742	39.33	181.42	0.78321023	41.34	44.55	0.072053872
32768	94.36	95.85	0.015545123	66.65	344.43	0.806491885	49.71	111.68	0.554888968
65536	153.85	160.41	0.040895206	122.81	699.6	0.824456832	70.83	90	0.213
131072	257.73	274.51	0.061127099	262.68	1707.82	0.846189879	232.62	174.75	-0.331158798
262144	465.69	509.72	0.086380758	516.84	4249.66	0.878380859	242.2	289.2	0.162517289
524288	895.58	982.64	0.088598062	1063.72	10282.35	0.896548941	401.12	546.99	0.266677636
1048576	1748.78	1987.91	0.120292166	2193.71	23526.81	0.906757015	848.11	1092.16	0.22345627
2097152	3740.32	4133.73	0.095170705	4488.92	49889.83	0.910023345	1820.93	2186.75	0.167289356
4194304	8247.34	9118.8	0.095567399	9300.14	104094.26	0.910656553	3923.23	4416	0.111587409
8388608	17148.85	18875.4	0.091470909	17501.6	207242.36	0.915550083	8263.17	9344.61	0.115728746
16777216	34754.92	37786.66	0.080233077	33030.47	428859.84	0.922980734	17081.79	18802.15	0.091498047
33554432	69999.77	75209.09	0.0692645	64277.5	869831.71	0.926103522	35532.95	38426.58	0.075302824
67108864	140070.29	150589.88	0.069855889	126868.61	1759263.27	0.927885376	72452.61	76675.37	0.055073226
134217728	280564.9	301664.24	0.069943126	252025.13	3543103.9	0.928868829	148051.23	153767.72	0.037176138
# 268435456	562615.57	603956.93	0.068450841	500925.99	7155657.64	0.929995814	296583.63	308115.7	0.037427726
# 536870912	1125898.34	1208726.37	0.068525046	995361.76	14313027.09	0.930457635	594766.08	616619.42	0.035440564
# 1073741824	2256600.27	2418718.57	0.067026525	1975629.77	28427853.08	0.930503729	1194063.01	1237131.88	0.034813483
