msize bin_r bin_d bin_dif k_r k_d k_dif scag_r scag_d scag_dif
1 10.48 12.25 0.144489796 5.92 4.15 -0.426506024 228.2 234.1 0.025202905
2 10.21 12.08 0.154801325 3.39 4.01 0.154613466 235.77 235.92 0.000635809
4 8.89 11.82 0.247884941 3.51 3.91 0.10230179 242.92 248.67 0.023123014
8 8.87 11.77 0.246389125 4.46 3.99 -0.117794486 246.2 286.03 0.139251128
16 8.86 12.12 0.268976898 4.02 4 -0.005 267.74 268.59 0.003164675
32 9.37 12.29 0.237591538 4.3 3.97 -0.083123426 302.57 229.78 -0.316781269
64 9.97 13.52 0.262573964 3.87 4.27 0.093676815 248.82 232.28 -0.071207164
128 11.47 15.7 0.269426752 4.92 6.56 0.25 269.88 253.22 -0.065792591
256 13.01 17.57 0.259533295 4.96 6.7 0.259701493 279.04 303.3 0.079986812
512 13.55 18.99 0.286466561 5.39 6.69 0.19431988 297.91 300.17 0.007529067
1024 16.11 23.64 0.318527919 6.52 8.06 0.191066998 41.41 62.44 0.336803331
2048 19.88 29.11 0.317073171 9.17 12.43 0.262268705 44.48 65.99 0.325958479
4096 27.8 53.54 0.480762047 16.61 20.01 0.169915042 46.75 69.61 0.328401092
8192 39.56 101.01 0.608355608 25.12 30.51 0.176663389 54.94 68.49 0.197839101
16384 63.5 142.6 0.554698457 39.72 58.12 0.316586373 69.85 100.68 0.30621772
32768 100.54 290.65 0.65408567 66.37 94.12 0.294836379 103.03 165.47 0.377349368
65536 162.15 630.53 0.742835392 115.35 163.91 0.296260143 172.72 337.62 0.488418933
131072 265.02 1190.74 0.777432521 256.3 321.99 0.204012547 324.44 659.77 0.508252876
262144 477.69 2526.82 0.810952106 499.62 645.88 0.226450734 635.3 1426.67 0.554697302
524288 907.38 5770.62 0.842758664 1005.11 1320.41 0.238789467 1475.63 3134.91 0.529291112
1048576 1819.5 13264.78 0.862832252 2075.59 2679.04 0.225248597 3021.33 6039.88 0.499769863
2097152 3716.14 28907.22 0.871445957 4351.04 5378.9 0.191091115 5647.73 11700.97 0.517328051
4194304 8412.63 63773.6 0.868086011 8861.11 10846.7 0.183059364 12613.31 24369.86 0.482421729
8388608 17613.67 143064.04 0.876882618 16887.02 20043.13 0.157465925 23349.89 48745.62 0.52098486
16777216 35487.67 281811.39 0.874072975 31710.68 37504.2 0.154476565 47492.49 97343.38 0.512113818
33554432 71486.38 550675.02 0.870184088 61466.07 72336.69 0.150278095 96384.1 195112.09 0.506006522
67108864 142793.35 1112908.21 0.871693507 121277.46 142484.38 0.148836806 192539.36 388864.7 0.504867991
134217728 285900.07 2145026.33 0.86671489 240450.34 281593.39 0.146108011 386924.39 779732.07 0.503772636
# 268435456 570981.79 4323957.35 0.867949255 477846.89 553407.16 0.136536488 770153.36 1563854.3 0.5075287
# 536870912 1140220.05 8391286.95 0.864118572 949015.35 1084849.09 0.125209802 1542579.14 3113906.92 0.504616169
