msize socket_disabled0_alg6_scotch0 socket_disabled0_alg4_scotch0 socket_disabled0_alg3_scotch0 socket_disabled0_alg0_scotch0 socket_disabled0_alg0_scotch1 socket_disabled1_alg0_scotch0 core_disabled0_alg6_scotch0 core_disabled0_alg4_scotch0 core_disabled0_alg3_scotch0 core_disabled0_alg0_scotch0 core_disabled0_alg0_scotch1 core_disabled1_alg0_scotch0 node_disabled0_alg6_scotch0 node_disabled0_alg4_scotch0 node_disabled0_alg3_scotch0 node_disabled0_alg0_scotch0 node_disabled0_alg0_scotch1 node_disabled1_alg0_scotch0
4 42.89 42.68 45.5 42.68 38.95 54.92 43.11 45.66 46.79 43.11 75.69 89.36 90.01 91.83 75.21 75.21 87.26 104.88
8 42.69 42.12 42.5 42.12 38.47 42.38 46.73 45.23 41.41 41.41 71.36 88.09 84.82 87.42 84.77 84.77 91.48 65.56
16 43.36 47.76 42.89 42.89 41.28 37.53 45.37 48.92 39.47 39.47 77.61 141.14 98.07 110.54 74.19 74.19 91.91 156.92
32 41.54 45.2 47.32 41.54 39.04 39.86 43.47 49.3 40.49 40.49 82.49 70.28 90.96 89.2 71.54 71.54 108.64 81.09
64 101.75 91.86 67 67 107.21 40.87 92.68 69.04 63.56 63.56 111.21 83.63 90.44 91.59 113.83 90.44 98.25 115.89
128 65.02 64.4 54.61 54.61 70.5 93.36 67.91 72.69 57.71 57.71 101.63 94 100.81 93.98 73.03 73.03 96.5 118.06
256 64.17 67.39 70.32 64.17 54.92 45.88 62.69 61.86 69.35 61.86 94.6 101.1 108.27 106.1 151.58 106.1 107.03 116.3
512 102.53 84.38 97.07 84.38 67.38 56.95 81.03 86.59 98.62 81.03 108.56 91.59 140.69 137.38 359.36 137.38 103.31 117.62
1024 129.95 129.95 150.86 129.95 98.53 65.71 130.33 128.99 153.18 128.99 149.46 116.86 267.5 293.34 204.65 204.65 161.98 151.91
2048 228.47 227.14 269.8 227.14 437.68 161.86 226.56 224.04 272.97 224.04 467.4 226.08 250.75 259.13 341.86 250.75 473.46 264.35
4096 519.67 516.72 612.7 516.72 835.72 312.5 525.69 517.04 615.99 517.04 842.83 407.18 446.42 453.77 572.3 446.42 865.23 461.64
8192 861.96 859.45 1132.1 859.45 1675.05 624.06 867.81 860.2 1136.32 860.2 1703.81 780.37 898.39 917.53 1242.19 898.39 1689.73 984.61
16384 125.26 12447.34 2229.76 125.26 3429.84 1228.73 137.73 12365.96 2216.66 137.73 3358.4 1389.51 208.94 13320.07 2239.03 208.94 3151.03 1749.99
32768 176.23 12137.25 4406.17 176.23 1089.2 208.74 188.37 12140.93 4404.57 188.37 1227.07 272.83 299.62 12642.98 4348.93 299.62 1336.23 678.67
65536 282.69 11990.96 8394.62 282.69 2144.27 352.02 281.78 12125.28 8350.41 281.78 2216.38 414.03 435.75 12370.36 8314.72 435.75 2290.92 1081.63
131072 482.68 15311.85 16811.2 482.68 4246.32 656.64 483.25 14962.46 16839.88 483.25 4247.35 563.98 757.27 16174.75 17294 757.27 4436.78 2019.54
262144 920.08 14950.53 31760.59 920.08 8556.7 1274.08 920.34 14809.56 31656.86 920.34 8535.76 1070.08 1421.86 16307.55 32144.11 1421.86 8771.07 4074.08
524288 2420.33 24503.89 64068.86 2420.33 16925.47 2480.79 2489.23 24630.75 64010.49 2489.23 16898.02 2097.58 2082.28 26831.3 64733.57 2082.28 17642.22 8187.25
1048576 4177.76 25918.06 129178.45 4177.76 33776.03 5171 4166.05 25620.24 128629.1 4166.05 33928.3 4275.55 4044.23 25271.78 129249.79 4044.23 35278.42 14152.17
2097152 10053.33 31341.11 259989.41 10053.33 69237.68 10838.64 9889.34 31461.61 258224.94 9889.34 68473.87 9523.46 9581.12 31442.93 259742.83 9581.12 72034.69 30122.02
4194304 20871.9 40126.68 522540.79 20871.9 140707.14 21448.65 20380.31 39641.82 519952.22 20380.31 139201.9 20137.34 20721.69 39276.57 525451.96 20721.69 146234.84 60148.46
8388608 42742.83 61920.43 1045435.26 42742.83 283509.65 44016.88 42605 61845.67 1043679.86 42605 280779.76 41479.93 42796.68 61760.14 1050271.67 42796.68 294568.59 113813.91
16777216 87105.61 106249.3 2095151.64 87105.61 569200.18 89153.98 86645.42 106996.65 2096243.11 86645.42 564722.45 83492.83 87322.81 105269.67 2098706.69 87322.81 589893.53 232724.71
33554432 188550 182525.77 4208953.96 182525.77 1149901.92 189616.28 185908.12 182934.27 4215956.43 182934.27 1141823.65 179415.03 185862.32 180958.93 4220553.71 180958.93 1187585.34 502696.48
67108864 374281.18 354798.34 8410957.25 354798.34 2298439.47 379134.35 371083.65 354414.47 8445940.84 354414.47 2279955.7 359265.11 369679.55 353374.65 8438091.11 353374.65 2374719.21 930334.08
