msize socket_disabled0_alg5_scotch0 socket_disabled0_alg7_scotch0 socket_disabled0_alg8_scotch0 socket_disabled0_alg0_scotch0 socket_disabled0_alg0_scotch1 socket_disabled1_alg0_scotch0 core_disabled0_alg5_scotch0 core_disabled0_alg7_scotch0 core_disabled0_alg8_scotch0 core_disabled0_alg0_scotch0 core_disabled0_alg0_scotch1 core_disabled1_alg0_scotch0 node_disabled0_alg5_scotch0 node_disabled0_alg7_scotch0 node_disabled0_alg8_scotch0 node_disabled0_alg0_scotch0 node_disabled0_alg0_scotch1 node_disabled1_alg0_scotch0
4 29.52 15.43 3004.20 27.77 44.12 32.20 38.23 37.90 3276.65 32.37 76.48 70.50 39.06 21.85 3002.38 45.20 34.35 39.62
8 35.12 27.88 2900.74 26.68 34.19 43.58 50.46 26.72 3324.37 32.60 66.47 100.54 44.69 20.10 2781.93 51.28 21.99 52.30
16 36.11 26.77 2598.76 28.83 42.47 54.53 29.40 34.48 3110.30 28.09 82.27 34.91 55.23 25.39 2828.62 40.87 21.25 16.88
32 39.37 33.95 2498.02 20.31 44.69 27.27 59.23 28.94 2876.85 17.51 47.98 23.81 46.56 22.27 3162.18 42.83 41.05 16.39
64 43.17 24.60 2695.64 29.54 24.71 55.14 51.68 37.46 3136.65 21.97 35.39 22.64 44.26 40.53 3468.46 37.50 54.25 41.50
128 50.69 30.32 2836.53 35.03 35.12 13.58 38.86 35.79 2931.30 19.74 46.03 22.61 47.08 46.87 3225.85 51.68 64.54 37.52
256 23.55 39.02 3305.78 28.16 38.19 20.86 35.87 38.54 3454.00 31.26 88.10 29.60 71.88 49.81 3410.54 44.12 27.24 36.19
512 37.54 30.72 3593.82 33.79 69.69 28.04 35.12 34.63 3374.35 37.28 88.55 28.22 99.47 38.29 3383.79 28.02 44.86 46.62
1024 36.21 35.12 3485.65 31.83 52.20 30.27 37.96 30.69 3706.38 33.74 84.82 24.69 44.54 60.10 3106.35 20.57 34.35 75.71
2048 48.06 38.98 3669.50 31.96 55.11 58.66 52.51 27.98 3853.24 34.28 81.61 51.74 38.47 39.87 3156.26 33.36 38.33 67.02
4096 50.26 35.75 423.55 44.61 68.54 48.14 49.94 40.69 410.36 41.82 114.04 66.65 47.37 70.37 247.13 33.02 69.31 83.93
8192 56.31 43.22 747.11 61.28 138.94 189.89 62.69 54.44 539.19 83.13 150.67 208.24 67.72 54.83 241.73 89.84 169.48 72.08
16384 92.47 67.06 446.14 61.47 108.11 127.87 156.14 61.77 940.81 76.46 129.29 139.03 112.24 71.40 172.15 73.43 108.27 274.78
32768 137.06 120.79 493.21 96.42 222.78 197.17 197.81 110.52 1074.07 114.25 234.16 212.54 167.70 103.58 140.96 110.12 256.30 607.29
65536 232.75 180.12 712.77 175.40 463.55 380.97 233.98 173.07 1168.83 168.38 530.51 326.05 266.89 180.72 181.96 192.53 522.88 1233.78
131072 403.98 388.32 1336.05 397.65 1090.30 481.79 370.94 385.22 1600.73 398.23 1174.66 432.09 477.55 375.80 230.90 427.60 1278.50 3137.88
262144 766.24 795.74 2511.59 2379.82 2899.42 3314.72 826.37 806.56 2512.00 2247.72 3012.72 3291.49 821.88 878.81 435.13 470.85 2736.25 584.92
524288 1412.91 1593.13 4364.48 4285.45 5760.48 7798.67 1328.05 1702.80 4333.48 4849.56 6079.18 7893.70 1646.29 1703.47 852.40 1075.15 5181.54 1064.15
1048576 2527.41 3214.21 8356.65 8366.84 10840.86 14386.61 2519.06 3325.20 8392.98 8295.70 12358.65 14443.02 3274.52 3893.11 1782.82 1964.86 10714.07 2303.91
2097152 5191.14 6861.56 16773.44 16637.45 23461.53 31285.49 5421.28 6979.59 16583.54 18457.00 24195.18 31153.22 5978.70 7702.87 3688.20 4058.33 22589.06 4760.95
4194304 11536.66 13780.19 33233.36 33123.03 46182.35 62275.03 11852.12 13820.71 33318.29 34596.15 47429.70 63600.30 14319.49 16919.49 7618.73 7741.82 45858.19 8931.48
8388608 23822.33 27111.52 68201.79 67578.12 93529.57 119672.77 24402.15 26927.72 67989.57 67399.50 97313.95 122033.96 29598.29 30932.95 16881.26 17449.75 91728.71 18000.01
16777216 48906.47 50428.92 133550.17 133416.88 182924.33 250980.28 49198.47 50982.54 133483.61 134293.27 187514.36 248445.61 58898.78 59834.25 29172.47 30079.85 180500.34 31731.17
33554432 98718.48 97909.30 268627.54 268041.02 371126.79 496690.77 99164.52 98804.56 270497.32 270631.42 384813.12 489783.17 114001.57 115500.98 58089.84 58705.35 364430.17 59983.87
67108864 196772.71 189473.77 536603.79 537177.01 744324.98 982218.31 196767.15 199277.78 540494.49 538293.34 767143.54 975641.49 225051.13 220556.81 114897.70 111836.74 731557.11 115959.55
