msize	ar_socketdisabled0alg6_scotch0	ar_socketdisabled0alg4_scotch0	ar_socketdisabled0alg3_scotch0	ar_socketdisabled0alg0_scotch0	ar_socketdisabled0alg0_scotch1	ar_socketdisabled1alg0_scotch0	ar_coredisabled0alg6_scotch0	ar_coredisabled0alg4_scotch0	ar_coredisabled0alg3_scotch0	ar_coredisabled0alg0_scotch0	ar_coredisabled0alg0_scotch1	ar_coredisabled1alg0_scotch0	ar_nodedisabled0alg6_scotch0	ar_nodedisabled0alg4_scotch0	ar_nodedisabled0alg3_scotch0	ar_nodedisabled0alg0_scotch0	ar_nodedisabled0alg0_scotch1	ar_nodedisabled1alg0_scotch0	bc_socketdisabled0alg5_scotch0	bc_socketdisabled0alg7_scotch0	bc_socketdisabled0alg8_scotch0	bc_socketdisabled0alg0_scotch0	bc_socketdisabled0alg0_scotch1	bc_socketdisabled1alg0_scotch0	bc_coredisabled0alg5_scotch0	bc_coredisabled0alg7_scotch0	bc_coredisabled0alg8_scotch0	bc_coredisabled0alg0_scotch0	bc_coredisabled0alg0_scotch1	bc_coredisabled1alg0_scotch0	bc_nodedisabled0alg5_scotch0	bc_nodedisabled0alg7_scotch0	bc_nodedisabled0alg8_scotch0	bc_nodedisabled0alg0_scotch0	bc_nodedisabled0alg0_scotch1	bc_nodedisabled1alg0_scotch0
4	37.69	93.16	91.2	37.69	95.96	46.98	96.59	96.06	91.55	91.55	36.92	27.66	71.66	40.13	37.88	37.88	54.72	33.04	27.01	9.96	631.4	9.96	13.43	13.09	16.12	13.13	642.25	13.13	13.64	13.05	17.37	19.15	645.85	17.37	16.21	16.27
8	33.93	31.85	29.6	29.6	37.04	42.69	31.77	36.68	30.6	30.6	127.61	29.02	33.93	36.25	31.42	31.42	31.76	41.87	12.86	16.84	630.2	12.86	12.91	12.93	28.31	20.73	634.37	20.73	12.9	12.88	33.48	27.6	644.26	27.6	15.26	15.73
16	30.48	30.01	35.61	30.01	29.17	41.44	32.06	29.27	26.71	26.71	34.5	39.07	32.48	38.02	30.46	30.46	31.6	33.1	12.27	9.02	633.55	9.02	12.79	12.79	14.99	13.44	636.27	13.44	14.09	15.09	17.61	11.94	648.78	11.94	15.35	16.56
32	33.72	31.13	30.65	30.65	31.53	88.99	30.92	33.28	30	30	38.07	31.25	37.32	36.29	30.37	30.37	34.51	33.14	13.42	9.61	639.92	9.61	12.86	16.16	16.35	13.84	640.04	13.84	13.03	13.96	18.33	12.38	649.51	12.38	15.81	22.23
64	68.47	99.52	36.39	36.39	112.13	37.27	60.48	66.12	36.18	36.18	145.98	31.62	47.39	45.78	52.87	45.78	52.45	49.11	13.41	10.11	645.03	10.11	13.9	13.34	15.61	13.27	647.45	13.27	13.88	13.91	17.6	13.58	655.74	13.58	16.66	16.9
128	46.33	48.76	37.31	37.31	61.78	33.3	42.45	45.69	41.03	41.03	85.01	32.5	44.63	44.34	42.52	42.52	37.47	54.92	15.7	12.82	656.86	12.82	14.21	14.81	16.75	14.72	657.42	14.72	14.33	14.39	19.56	14.18	667.93	14.18	16.47	18.37
256	43.34	43.29	42.67	42.67	46.84	35.41	41.95	46.04	47.12	41.95	57.8	33.97	54.01	47.02	47.92	47.02	43.07	102.78	16.99	12.48	722.78	12.48	16.8	16.16	17.86	15.46	726.06	15.46	16.31	15.8	20.14	14.88	729.86	14.88	19.35	20.9
512	54.92	53.29	59.33	53.29	52.44	42.33	55.69	55.86	58.69	55.69	62.03	90.45	56.57	55.98	55.92	55.92	70.44	73.37	16.5	13.48	729.54	13.48	17.24	16.1	18.27	16.38	738.91	16.38	17.19	15.9	19.94	15.03	743.72	15.03	19.3	28.58
1024	87.1	80.26	107.88	80.26	86.69	54.84	84.01	83.18	87.68	83.18	83.92	70.17	80.65	80.45	86.29	80.45	119.45	123.25	18.63	14.72	760.81	14.72	19.15	18.63	19.93	18.34	772.14	18.34	18.07	18.2	22.82	17.43	774.39	17.43	21.42	46.68
2048	147.01	146.56	153.73	146.56	253.84	128.62	138.13	142.67	164.65	138.13	275.08	173.13	141.82	142.3	159.53	141.82	245.68	171.53	23.58	18.12	57.26	18.12	23.78	21.75	25.68	21.05	74.61	21.05	23.78	24.29	27.5	19.96	51.98	19.96	26.16	46.66
