msize	t_table	scotch	rdouble	ring	rsa	def	min	opt_alg	tt_pdif	s_pdif	opt_pdif
4	36.5	37.57	35.48	35.97	36.54	36.64	35.48	rdouble	0.003820961	-0.025382096	0.031659389
8	35.01	38.87	35.75	35.01	34.61	36.35	34.61	rsa	0.036863824	-0.069325997	0.04786795
16	36.15	39.72	34.72	39.56	35.96	35.49	34.72	rdouble	-0.018596788	-0.119188504	0.021696252
32	38.74	39.87	36.94	35.53	35.86	37.48	35.53	ring	-0.03361793	-0.063767343	0.052027748
64	36.06	38.06	38.25	37.23	36.23	36.39	36.23	rsa	0.009068425	-0.045891728	0.004396812
128	36.56	39.51	38.53	36.88	36.48	37.99	36.48	rsa	0.037641485	-0.040010529	0.039747302
256	36.72	40.2	37.38	101.05	44.79	38.22	37.38	rdouble	0.039246468	-0.051805338	0.021978022
512	102.28	243.52	38.81	104.93	47.25	202.38	38.81	rdouble	0.494614092	-0.203280957	0.808232039
1024	104.08	248.74	40.26	105.85	47.53	218	40.26	rdouble	0.522568807	-0.141009174	0.815321101
2048	130.59	248.18	50.11	129.91	49.61	207.98	49.61	rsa	0.372103087	-0.193287816	0.761467449
4096	122.68	256.79	56.55	119.02	54.48	228.18	54.48	rsa	0.462354282	-0.125383469	0.761241125
8192	76.75	79.51	80	138.38	74.02	74.62	74.02	rsa	-0.028544626	-0.065532029	0.00804074
16384	111.59	116.83	120.75	160.21	97.13	116.31	97.13	rsa	0.040581205	-0.004470811	0.164904135
32768	185.9	181.89	182.8	204.25	126.51	178.43	126.51	rsa	-0.041865157	-0.019391358	0.290982458
65536	333.92	338.73	330.71	278.98	218.99	312.61	218.99	rsa	-0.068168005	-0.083554589	0.299478584
131072	646.09	604.04	660.54	438.61	348.84	596.77	348.84	rsa	-0.082644905	-0.012182248	0.41545319
262144	649.76	689.75	1255.47	749.69	648.33	703.36	648.33	rsa	0.076205641	0.019349977	0.07823874
524288	1222.84	1357.89	2458.58	1365.87	1228.72	1396.85	1228.72	rsa	0.124573147	0.027891327	0.120363675
1048576	2468.86	2695.22	4921.19	2531.42	2525.18	2682.65	2525.18	rsa	0.079693587	-0.004685665	0.05869942
2097152	4515.58	4894.57	9417.92	4470.33	4532	4916.68	4470.33	ring	0.08157944	0.004496937	0.090782805
4194304	8684.08	9424.94	19472.87	8382.72	8706.57	9335.34	8382.72	ring	0.069762858	-0.009597936	0.102044489
8388608	17188.27	18489.25	41191.04	16796.14	17277.07	18354.89	16796.14	ring	0.063559084	-0.00732012	0.084922873
16777216	33740.57	36594.64	85936.71	34905.68	34146.33	36311.55	34146.33	rsa	0.070803367	-0.007796142	0.059628961
33554432	74416.25	83487.61	171863.13	77756.33	74339.12	81176.23	74339.12	rsa	0.083275363	-0.028473606	0.084225518
67108864	149529.75	171341.44	346666.17	156851.72	149614.65	167418.92	149614.65	rsa	0.106852738	-0.023429371	0.106345627
134217728	293792.35	338068.67	690975.86	310777.31	293760.36	330042.41	293760.36	rsa	0.109834551	-0.024318875	0.109931478
268435456	581405.04	670141.76	1375211.15	633101.82	581950.45	656694.57	581950.45	rsa	0.114649235	-0.020477084	0.113818697
