msize	t_table	scotch	rdouble	ring	rsa	def	min	opt_alg	tt_pdif	s_pdif	opt_pdif
4	77.77	42.81	42.96	46.06	42.01	70.95	42.01	rsa	-0.096124031	0.396617336	0.407892882
8	72.61	40.35	45.98	40.59	39.58	67.31	39.58	rsa	-0.078740157	0.400534839	0.411974447
16	75.28	40.25	40.39	41.3	39.79	68.04	39.79	rsa	-0.106407995	0.408436214	0.415196943
32	76.72	40.79	47.49	40.78	44.35	69.29	40.78	ring	-0.107230481	0.411314764	0.411459085
64	77.88	40.97	47.32	46.32	40.38	70.1	40.38	rsa	-0.110984308	0.415549215	0.423965763
128	67.34	42.3	45.71	43.78	42.75	51.82	42.75	rsa	-0.299498263	0.183712852	0.175028946
256	56.42	44.77	58.97	45.46	46.41	57.47	45.46	ring	0.018270402	0.220984862	0.208978598
512	54.21	45.19	51.3	261.86	57.71	68.16	51.3	rdouble	0.204665493	0.337001174	0.247359155
1024	58.14	47.63	55.14	244.8	57.12	57.42	55.14	rdouble	-0.012539185	0.170498084	0.039707419
2048	241.71	521.75	65.46	246.44	67.08	315.56	65.46	rdouble	0.234028394	-0.653409811	0.79255926
4096	299.2	518.59	71.98	301.94	80.04	402.73	71.98	rdouble	0.257070494	-0.287686539	0.821269833
8192	296.16	557.72	90.47	289.33	77.37	379	77.37	rsa	0.218575198	-0.471556728	0.79585752
16384	146.23	467.36	134.97	359.04	95.92	215.71	95.92	rsa	0.322099115	-1.166612582	0.555328914
32768	262.86	510.54	238.92	397.94	145.53	270.34	145.53	rsa	0.027668861	-0.888510764	0.461677887
65536	510.29	615.64	428.78	485.61	215.76	559.09	215.76	rsa	0.087284695	-0.101146506	0.614087177
131072	875.25	1054.12	862.24	665.18	370.63	726.88	370.63	rsa	-0.204118974	-0.450198107	0.490108409
262144	684.94	812.48	1790.63	1074.2	689.41	721.11	689.41	rsa	0.050158783	-0.126707437	0.043960006
524288	1295.11	1627.54	3531.37	1658.12	1296.38	1296.59	1296.38	rsa	0.001141456	-0.255246454	0.000161963
1048576	2598	3244.75	6964.4	2896.19	2630.1	2588.33	2630.1	rsa	-0.003736	-0.253607538	-0.016137819
2097152	4638.43	6086.87	13597.57	5005.08	4621.49	4692.74	4621.49	rsa	0.011573196	-0.297082302	0.015183027
4194304	8962.84	11903.19	26889.58	10161.08	8759.02	9184.08	8759.02	rsa	0.024089511	-0.296067761	0.046282262
8388608	17065.88	23549.48	55480.02	17696.53	17481.88	16701.02	17481.88	rsa	-0.02184657	-0.410062379	-0.046755228
16777216	34855.08	47003.5	115261.28	36571.47	34406.93	34472.23	34406.93	rsa	-0.011106041	-0.363517823	0.001894278
33554432	74140.99	104350.71	234437.97	82174.34	74611.82	74183.31	74611.82	rsa	0.000570479	-0.406660204	-0.005776367
67108864	152792.06	212809.91	476545.88	164584.54	153042.98	153627.95	153042.98	rsa	0.005441002	-0.38522912	0.003807706
134217728	303834.16	422442.44	951593.9	322132	303989	305026.27	303989	rsa	0.003908221	-0.384937894	0.003400592
268435456	644365.64	838110.14	1904397.12	641856.09	640173.15	627800.33	640173.15	rsa	-0.026386272	-0.334994743	-0.019708209
