msize	t_table	scotch	bintree	knomial	scag	def	min	opt_alg	tt_pdif	s_pdif	opt_pdif
1	14	14.73	16.92	13.44	48.88	13.68	13.44	knomial	-0.023391813	-0.076754386	0.01754386
2	19.48	20.19	22.37	20	77.47	20.12	20	knomial	0.031809145	-0.003479125	0.005964215
4	19.97	20.01	23.07	20.58	78.07	20.08	20.58	knomial	0.005478088	0.003486056	-0.024900398
8	19.46	20.05	23.16	19.55	77.19	20.86	19.55	knomial	0.067114094	0.038830297	0.062799616
16	12.95	13.63	16.16	13.15	47.09	13.81	13.15	knomial	0.062273715	0.013034033	0.047791455
32	12.84	13.48	16.2	13.05	48.54	14.19	13.05	knomial	0.095137421	0.050035236	0.080338266
64	16.49	18.42	20.93	18.28	39.99	18.06	18.28	knomial	0.086932447	-0.019933555	-0.012181617
128	17	19.45	21.66	18.61	38.7	19.08	18.61	knomial	0.109014675	-0.019392034	0.024633124
256	17.24	20.46	22.73	19.13	39.08	25.18	19.13	knomial	0.315329627	0.187450357	0.240270056
512	23.36	27.04	30.25	26.94	40.53	38.66	26.94	knomial	0.395757889	0.300569064	0.303155717
1024	29.98	38.58	41.68	31.73	48.22	56.69	31.73	knomial	0.471158935	0.319456694	0.440289293
2048	48.87	64.97	71.29	50.85	62.42	102.22	50.85	knomial	0.52191352	0.364410096	0.502543534
4096	84.43	120.69	132.56	89.44	95.56	201.78	89.44	knomial	0.581573991	0.401873327	0.55674497
8192	155.19	217.45	244.95	163.81	160.76	383.36	160.76	scag	0.595184683	0.432778589	0.580655259
16384	222.94	423.23	246.47	235.72	287.88	714.56	235.72	knomial	0.688003807	0.407705441	0.670118674
32768	447.43	874.83	487.66	471.36	558.61	1466.92	471.36	knomial	0.694986775	0.40362801	0.678673684
65536	883.39	1750.39	944.21	920.27	1102	2924.57	920.27	knomial	0.69794192	0.401488082	0.685331519
131072	1773.69	3569.35	1864.3	1846.67	2224.22	6026.28	1846.67	knomial	0.705674147	0.407702596	0.693563857
262144	3556.78	7178.36	3717.34	3703.52	4467.36	12198.17	3703.52	knomial	0.708416918	0.411521564	0.696387245
524288	7086.04	14407.74	7378.18	7410.01	5152.67	24260.62	5152.67	scag	0.707920078	0.406126472	0.787611776
1048576	727.87	1488.79	914.41	724.63	6009.73	2311.8	724.63	knomial	0.685150099	0.35600398	0.686551605
2097152	1264.39	2698.41	1672.99	1264.77	6306.88	4187.39	1264.77	knomial	0.698048188	0.355586654	0.697957439
4194304	2486.19	5277.47	2997.4	2479.27	6708.42	8079.89	2479.27	knomial	0.692299029	0.34683888	0.693155476
8388608	5005.2	11068.46	5664.02	5018.09	6896.63	16609.8	5018.09	knomial	0.698659827	0.333618707	0.697883779
16777216	10042.18	nan	11024.94	10126.73	7138.24	36906.53	7138.24	scag	0.727902352	nan	0.806585989
33554432	20290.24	nan	22156.11	20494.78	13251.08	79574.71	13251.08	scag	0.745016476	nan	0.833476239
67108864	41174.84	nan	44955.56	41190.32	25260.91	156746.16	25260.91	scag	0.73731516	nan	0.838841921
134217728	83234.16	nan	90989.54	83356.93	48842.54	321608.1	48842.54	scag	0.741193832	nan	0.848130255
