msize	t_table	scotch	bintree	knomial	scag	def	min	
1	16.63	18.82	20.91	16.64	90.89	18.44	16.64	
2	151.24	149.43	29.58	24.12	151.31	152.11	24.12
4	152.77	150.75	29.37	23.95	151.77	151.75	23.95
8	151.11	149.93	29.31	24.68	150.32	152.1	24.68	
16	89.34	88.05	20.73	16.24	88.65	90.53	16.24	
32	89.67	88.13	20.92	16.05	89.15	91.56	16.05
64	110.06	141.77	26.88	21.24	97.24	146.17	21.24
128	27.85	31.91	28.43	21.96	51.22	31	21.96	
256	30.75	33.43	29.55	22.37	51.1	36.05	22.37
512	38.76	41.54	38.17	28.82	52.13	50.46	28.82
1024	54.41	54.16	53.46	36.35	56.74	68	36.35	
2048	87.84	84.97	90.23	58.3	69.61	106.89	58.3
4096	165.24	150.26	164.86	106.21	102.6	196.53	102.6
8192	301.56	265.49	301.09	188.58	169.13	354.25	169.13
16384	386.02	385.16	323.82	291.24	287.04	2760.19	287.04
32768	636.03	1058.24	636.49	589.28	543.03	1457.13	543.03
65536	1130.39	2083.46	1239.25	1146.22	1043.17	1123.36	1043.17	
131072	2269.59	4235.29	2450.25	2301	2099.84	2263.96	2099.84
262144	4568.43	8565.57	4881.82	4616.77	4230.72	4576.37	4230.72
524288	9122.33	17064.45	9659.71	9183.81	4605.51	9092.11	4605.51
1048576	967.64	14086.62	10323.35	943.68	4928.98	979.08	943.68	
2097152	1730.21	3153.4	1988.53	1690.76	5587.13	1749.66	1690.76	
4194304	3487.55	6406.86	3556.96	3422.66	6418.05	3531.46	3422.66	
8388608	7387.01	13681.95	6778.79	7065.66	7983.18	7071.81	6778.79	
16777216	15056.47	nan	16465.87	14924.78	10801.38	15129.81	10801.38	
33554432	30529.02	nan	27435.97	30677.72	15502.38	30781.31	15502.38	
67108864	62442.48	nan	55137.41	62566.75	30393.24	62007.73	30393.24
134217728	125803.68	nan	108421.12	125273.64	61266.75	125436.86	61266.75	
