msize	remap	scotch	def	remap_pdif	scotch_pdif
4	19.17	17.88	29.94	0.359719439	0.402805611
8	17.69	17.8	20.24	0.125988142	0.12055336
16	18.29	18.22	17.99	-0.016675931	-0.01278488
32	18.92	19.31	19.34	0.021716649	0.001551189
64	19.22	21.8	19.71	0.024860477	-0.106037544
128	22.31	22.16	21.36	-0.044475655	-0.037453184
256	22.77	25.25	22.87	0.00437254	-0.104066463
512	24.38	30.55	25.55	0.045792564	-0.195694716
1024	28.86	41.57	30.42	0.051282051	-0.366535174
2048	65.91	132.1	65.04	-0.013376384	-1.031057811
4096	117.73	246.18	119.23	0.012580726	-1.064748805
8192	226.12	490.45	236.46	0.043728326	-1.07413516
16384	68.3	231.54	63.25	-0.079841897	-2.660711462
32768	73.18	438.4	85.02	0.13926135	-4.15643378
65536	158.72	815.82	116.61	-0.361118257	-5.996140983
131072	173.38	1622.53	164.82	-0.051935445	-8.844254338
262144	741.75	3252	291.52	-1.544422338	-10.15532382
524288	678.58	6834.89	1086.71	0.375564778	-5.289525264
1048576	1520.05	14865.12	1549.45	0.018974475	-8.593804253
2097152	3748.22	28078.53	3790.82	0.011237674	-6.406980548
4194304	9029.14	53140.17	8774.43	-0.029028666	-5.056253227
8388608	18881.65	107395.29	19376.43	0.025535148	-4.542573632
16777216	39171.86	222878.62	39825.77	0.016419268	-4.596341766
33554432	83402.25	451011.89	84621.18	0.01440455	-4.329775477
67108864	167761.1	922365.71	168015	0.001511175	-4.489781924
134217728	331034.92	1807143.23	335029.88	0.01192419	-4.393976293
268435456	662171.3	3641470.53	665512.43	0.005020387	-4.471679214
