msize	remap	scotch	def	remap_pdif	scotch_pdif
4	20.07	21.35	26.86	0.252792256	0.205137751
8	18.65	21.22	22.12	0.156871609	0.040687161
16	20.06	24.36	16.93	-0.184878913	-0.438865918
32	22.63	20.14	18.37	-0.231899837	-0.096352749
64	20.68	26.98	18.03	-0.14697726	-0.496394897
128	21.54	24.96	20.58	-0.04664723	-0.212827988
256	23.87	28.2	22.94	-0.040540541	-0.22929381
512	26.31	31.92	24.42	-0.077395577	-0.307125307
1024	30.18	44.92	29.04	-0.039256198	-0.546831956
2048	64.48	128.89	65.87	0.021102171	-0.956732959
4096	116.79	249.8	126.25	0.074930693	-0.978613861
8192	228.3	488.91	252.93	0.097378721	-0.932985411
16384	55.56	195.16	77	0.278441558	-1.534545455
32768	66.39	357.29	100.94	0.342282544	-2.539627501
65536	91.42	700.27	166.81	0.451951322	-3.198009712
131072	140.3	1402.4	287.84	0.512576431	-3.872151195
262144	250.87	2844.09	915.05	0.725840118	-2.108125239
524288	510.53	5957.96	950.89	0.463102988	-5.265666902
1048576	1706.72	12171.98	1795.13	0.049249915	-5.780556283
2097152	3005.31	24599.61	3757.19	0.200117641	-5.547342562
4194304	7171.22	50242.78	8323.12	0.13839762	-5.036531974
8388608	15464.05	101720.02	18479.16	0.16316272	-4.504580295
16777216	32343.62	203985.31	37427.8	0.13583967	-4.450101529
33554432	69611.88	417749.22	79043.75	0.119324678	-4.285037969
67108864	139288.22	837380.22	159919.2	0.129008774	-4.236270692
134217728	279532.87	1671540.03	318417.67	0.122118851	-4.249520323
268435456	558010.89	3351212.51	635744.89	0.122272316	-4.271316471
