msize	remap	scotch	def	remap_pdif	scotch_pdif
1	6.84	10.17	6.21	-0.101449275	-0.637681159
2	6.25	9.49	6.59	0.051593323	-0.440060698
4	5.93	9.56	5.84	-0.015410959	-0.636986301
8	5.61	9.52	5.65	0.007079646	-0.684955752
16	5.82	9.53	6.1	0.045901639	-0.562295082
32	6.24	10.13	6.24	0	-0.623397436
64	6.42	10.28	6.44	0.00310559	-0.596273292
128	7.51	10.47	7.56	0.006613757	-0.384920635
256	8.25	12.23	8.3	0.006024096	-0.473493976
512	8.8	12.99	9.05	0.027624309	-0.435359116
1024	10.62	13.91	10.64	0.001879699	-0.307330827
2048	13.02	17.66	13.34	0.023988006	-0.323838081
4096	18.53	29.56	18.59	0.003227542	-0.590102205
8192	26.28	39.93	26.43	0.005675369	-0.510783201
16384	55.94	68.69	40.09	-0.395360439	-0.713394862
32768	66.02	140.69	67.28	0.018727705	-1.091111772
65536	120.4	287.57	121.41	0.008318919	-1.368585784
131072	261.99	618.52	259.4	-0.00998458	-1.384425598
262144	520.48	1542.63	516.39	-0.00792037	-1.987335154
524288	1217.39	2794.15	4220.79	0.711572952	0.338003075
1048576	2653.68	5548.72	7747.62	0.657484492	0.283816191
2097152	4919.41	11398.45	15493.92	0.682494165	0.264327556
4194304	10424.89	23393.77	31278.81	0.666710786	0.252088874
8388608	21646.3	46507.82	62512.25	0.653727069	0.2560207
16777216	44322.42	95145.04	126803.83	0.650464659	0.249667459
33554432	89258.28	191297.46	248854.22	0.64132302	0.231287056
67108864	181316.29	383272.79	502751.52	0.63935208	0.237649664
134217728	359015.39	764312.99	1011663.72	0.645123787	0.244498963
268435456	724716.41	1536610.5	2082788.13	0.652045064	0.262233888
