msize	remap	scotch	def	remap_pdif	scotch_pdif
1	8	9.83	7.02	-0.13960114	-0.4002849
2	6.73	9.17	6.12	-0.099673203	-0.498366013
4	6.18	9.01	5.87	-0.052810903	-0.534923339
8	6.11	9.21	6.3	0.03015873	-0.461904762
16	6.16	9.41	6.17	0.001620746	-0.525121556
32	6.4	9.44	6.43	0.00466563	-0.468118196
64	6.69	10.5	6.45	-0.037209302	-0.627906977
128	7.59	10.5	8.05	0.057142857	-0.304347826
256	8.81	12.67	9.1	0.031868132	-0.392307692
512	8.98	13.08	9.46	0.050739958	-0.382663848
1024	10.43	14.73	11.03	0.054397099	-0.335448776
2048	12.86	17.82	13.64	0.057184751	-0.306451613
4096	17.94	26.1	19.15	0.063185379	-0.362924282
8192	25.09	42.17	27.55	0.089292196	-0.530671506
16384	38.84	69.14	47.19	0.176944268	-0.46514092
32768	64.06	133.98	80.3	0.202241594	-0.668493151
65536	115.53	268.98	147.3	0.215682281	-0.826069246
131072	251.83	717.63	313.14	0.19579102	-1.291722552
262144	499.2	1504.45	628.88	0.206207862	-1.392268795
524288	1379.29	2904.97	3576.49	0.61434535	0.187759507
1048576	3004.66	5866.98	7298.63	0.58832548	0.196153251
2097152	5573.93	12266.64	14648.57	0.619489821	0.162604951
4194304	11094.84	24527.73	29605.78	0.625247502	0.17152225
8388608	22015.15	47154.18	62839.87	0.649662706	0.249613661
16777216	46576.87	98424.65	122647.19	0.620236958	0.197497717
33554432	93502.07	194027.68	248861.85	0.624281223	0.220339799
67108864	188966.12	397028.18	501999.14	0.623572821	0.209105856
134217728	374789.35	791605.43	1014392.11	0.63052813	0.219625801
268435456	754106.39	1604839.62	2033100.18	0.629085474	0.210644101
