msize socket_disabled0_alg6_scotch0 socket_disabled0_alg4_scotch0 socket_disabled0_alg3_scotch0 socket_disabled0_alg0_scotch0 socket_disabled1_alg0_scotch0 core_disabled0_alg6_scotch0 core_disabled0_alg4_scotch0 core_disabled0_alg3_scotch0 core_disabled0_alg0_scotch0 core_disabled1_alg0_scotch0 node_disabled0_alg6_scotch0 node_disabled0_alg4_scotch0 node_disabled0_alg3_scotch0 node_disabled0_alg0_scotch0 node_disabled1_alg0_scotch0 
4 209.22 204.26 193.98 108.79 122.75 171.86 205.11 248.55 159.9 129.16 180.85 179.55 206.4 166.24 159.74
8 162.6 163.28 188.84 102.24 114.16 161.02 165.02 191.34 102.76 111.99 158.14 136.48 165.05 114.62 163.06
16 194.48 162.38 217.69 101.48 147.21 162.03 164.52 190.85 100.99 144.06 139.12 138.24 179.99 114.91 141.11
32 167.63 164.36 192.7 140.81 116.54 163.98 165.15 191.38 101.58 115.28 138.79 159.2 167.06 114.58 140.68
64 164.46 164.93 192.31 110.17 116.55 162.77 166.45 191.72 101.65 114.02 139.53 138.51 168.28 115.68 141.11
128 178.66 169.28 196.89 119.17 118.5 169.62 169.5 201.56 104.16 116.19 148.97 149.35 178.27 119.62 146.08
256 183.84 193.31 215.41 138.48 126.96 182.73 193.71 215.24 116.79 123.88 155.05 151.52 190.93 149.99 169.22
512 191.14 193.48 223.42 125.9 131.49 190.24 193 250.33 128.77 127.22 156.73 155.56 200.74 150.53 188.86
1024 231.33 200.76 261.23 132.38 139.96 226.18 201.52 239.98 133.8 150 164.67 161.86 255.14 171.34 203.01
2048 218.44 221.34 280.11 219.71 224.68 256.65 221.89 275.18 218.39 222.92 192.59 187.62 268.31 193.61 257.05
4096 364.23 366.98 446.49 429.06 361.88 335.72 370.08 447.6 446.23 330.84 345.26 337.31 460.85 440.36 432.2
8192 401.49 18367.69 709.26 699.56 538.54 401.37 18111.69 707.19 711.72 529.98 361.58 18550.36 753.82 732.57 725.35
16384 419.86 25006.29 1202.46 461.45 473.67 417.58 25035.7 1200.52 426.15 456.91 375.75 20057.05 1312.02 388.78 564.87
32768 447.88 22453.62 2202.14 456.02 479.45 446.54 19743.03 2200.45 461.58 467.77 418.48 19438.02 2442.15 477.29 862.49
65536 490.56 18850.59 4233.31 499.6 561.57 546.3 18457.52 4226.25 626.85 504.75 457.56 18839.88 4635.3 446.43 1399.58
131072 607.91 19285.47 8325.46 605.56 723.95 697.9 18533.17 8314.71 718.06 588.44 551.29 18927.07 9107.28 558.44 2493.65
262144 841.86 24640.57 17771.39 864.61 1148.44 997.89 88524.42 17809.43 1000.59 833.42 825.88 20419.97 19213.39 814.49 4341.48
524288 1414.03 22358.18 35175.28 1409.09 1786.68 1658.39 23417.47 35471.27 1606.09 1452.65 1382.29 20548.21 38473.48 1360.2 8945
1048576 2619.56 29856.94 111551.17 2572.14 3341.95 2822.6 21934.65 71961.68 2555.7 2626.52 2604.22 22780.6 77209.18 2565.96 17692.95
2097152 5889 26141.36 163358.45 5284.8 6503.51 5360.13 25061.6 201474.2 5250.09 5336.98 6009.57 25670.01 160311.4 5252.08 35335.26
4194304 10787.68 32117.45 345166.36 10921.52 12997.25 10418.75 31990.57 337213.97 10813.58 10766.11 10969.18 35642.18 336470.86 10743.06 71046.08
8388608 21435.44 46638.43 703729.29 21931.47 24629.89 21168.74 73262.38 708122.97 22097.26 21330.35 21988.07 49475.89 679738.13 22259.85 146767.17
16777216 43721.82 114510.5 1390377.06 43336.44 49587.75 43109.72 129507.87 1393919.36 43580.64 43312.78 44429 85002.68 1377490.31 43916.3 300265.69
33554432 90113.79 191818.89 2816844.34 89975.71 102305.55 89903.02 132998.62 2826199.97 89375.42 89305.93 91271.78 136470.59 2818973.1 90727.66 631638.33
67108864 192002.34 339643.03 5674709.15 226287.3 218635.78 213312.37 251239.61 5674221.62 184061.25 186583.14 184623.28 256632.76 5636929.36 181550.75 1300583.51
