msize socket_disabled0_alg6_scotch0 socket_disabled0_alg4_scotch0 socket_disabled0_alg3_scotch0 socket_disabled0_alg0_scotch0 socket_disabled1_alg6_scotch0 socket_disabled1_alg4_scotch0 socket_disabled1_alg3_scotch0 socket_disabled1_alg0_scotch0 core_disabled0_alg6_scotch0 core_disabled0_alg4_scotch0 core_disabled0_alg3_scotch0 core_disabled0_alg0_scotch0 core_disabled1_alg6_scotch0 core_disabled1_alg4_scotch0 core_disabled1_alg3_scotch0 core_disabled1_alg0_scotch0 node_disabled0_alg6_scotch0 node_disabled0_alg4_scotch0 node_disabled0_alg3_scotch0 node_disabled0_alg0_scotch0 node_disabled1_alg6_scotch0 node_disabled1_alg4_scotch0 node_disabled1_alg3_scotch0 node_disabled1_alg0_scotch0 
4 273.76 271.31 246.69 243.25 268.54 250.82 259.22 252.72 265.41 255.33 237.32 241.08 244.8 245.71 249.9 249.52 244.71 246.04 234.08 233.9 252.38 250.25 243.64 247.21
8 247.31 248.94 238.91 238.28 243.55 254.08 253.5 255.76 243.56 251.47 224.24 234.79 250.56 251.45 250.02 248.73 244.23 244.71 230.44 231.03 237.18 241.92 240.54 240.1
16 248.53 249.42 231.85 230.26 244.4 244.28 244.04 247.54 244.28 243.56 223.9 225.1 239.8 239.48 240.88 240.35 236.15 235.56 221.31 222.25 232.16 232.38 232.17 232.44
32 252.64 250.17 230.74 231.03 245.06 245.31 244.58 246.17 245.19 244.22 224.49 225.03 241.02 240.39 241.28 241.05 237.07 236.44 221.62 222.31 232.92 232.69 232.3 232.67
64 249.48 251.13 231.71 232.02 246.03 245.61 245.14 246.16 246.16 244.94 225.66 226.4 244.43 241.69 242.53 242.12 237.79 237.51 222.66 225.76 236.55 233.57 233.53 233.47
128 251.16 251.69 233.79 233.4 246.99 246.94 246.74 247.84 247.63 246.6 229.59 228.3 243.13 242.99 243.85 243.81 238.85 238.82 224.25 226.51 236.23 235.45 234.98 235.09
256 252.43 253.65 234.75 234.66 248.38 248.34 248.2 249.04 248.91 247.59 228.19 229.15 244.52 246.27 246.33 245.36 240.23 240.26 225.39 225.8 236.26 236.85 235.54 236.7
512 442.2 6755.44 237.22 237.42 448.95 6800.95 250.14 250.83 427.83 6596.08 232.16 234.74 440.05 6600.43 246.96 246.86 422.68 6596.1 228 228.21 441.25 7879.76 237.47 240.05
1024 437.84 6731.99 243.54 242.83 448.43 6776.89 254.19 255.29 427.18 6565.84 236.43 236.48 440.66 6574.96 251.19 251.26 423.8 6570.33 231.89 232.59 442.14 7843.37 241.6 241.67
2048 476.97 6757.55 253.14 253.36 486.72 6800.89 262.63 263.7 450.6 6603.93 246.59 247.05 451.44 6613.27 261.82 259.36 426.82 6618.45 241.29 243.32 459.14 7897.42 251.1 250.92
4096 445.71 7234.14 377.22 377.89 456.41 7020.52 365.37 365.73 439.93 6809.83 374.93 366.97 473.12 6828.22 362.53 361.24 466.82 6787.02 359.47 359.92 466.91 8354.45 371.09 370.7
8192 455.75 7399.41 547.33 489.3 465.58 7244.6 503.46 499.78 443.6 6983.91 516.21 480.97 456.45 6972.05 497.01 495.45 439.66 7058.15 528.58 473.38 496.57 7905.93 540.14 532.61
16384 473.7 6967.99 853.88 471.08 484.02 7020.13 771.06 484.52 460.69 6705.48 824.13 460.34 473.94 6678.97 759.84 475.07 456.86 6763.44 824.33 457.16 592.71 7948.53 839.07 596.83
32768 568.32 6872.39 1500.68 569.36 583.66 7051.48 1347.42 584.48 553.88 6735.83 1447.57 553.93 566.51 6711.83 1322.5 567.3 550.04 6762.26 1453.71 549.55 798.69 8360.93 1469.05 800
65536 804.91 7066.95 2761.45 803.24 825.06 7144.07 2480.12 823.67 783.29 6757.38 2667.89 782.13 794.44 6822.54 2455.3 799.6 772.93 6739.33 2720.99 776.68 1328.16 8533.19 2729.99 1206.26
131072 1283.12 7062.54 5284.2 1274.68 1294.63 7596.29 4754.96 1296.97 1233.88 6824.79 5079.79 1236.41 1248.97 6839.32 4682.57 1250.96 1227.33 6834.44 5143.03 1230.77 2123.3 8382.61 5203.75 2017.06
262144 2331.81 7843.02 3650.6 2217.18 2318.45 8225.61 2218.09 2250.29 2139.48 7034.23 3583.77 2138.76 2155.3 7038.72 2157.97 2152.04 2131.34 7043.39 3719.99 2132.44 3606.85 8798.99 2438.07 3610.46
