msize socket_disabled0_alg5_scotch0 socket_disabled0_alg7_scotch0 socket_disabled0_alg8_scotch0 socket_disabled0_alg0_scotch0 socket_disabled1_alg0_scotch0 core_disabled0_alg5_scotch0 core_disabled0_alg7_scotch0 core_disabled0_alg8_scotch0 core_disabled0_alg0_scotch0 core_disabled1_alg0_scotch0 node_disabled0_alg5_scotch0 node_disabled0_alg7_scotch0 node_disabled0_alg8_scotch0 node_disabled0_alg0_scotch0 node_disabled1_alg0_scotch0 
4 51.57 18.61 3057.79 16.27 25.03 56.8 13.19 2975.01 11.85 12.96 35.89 32.49 3021.38 33.68 59.46
8 56.18 14.86 3066.6 14.24 23.88 61.97 10.56 2974.98 10.58 10.73 43.27 37.1 3039.72 30.86 57.73
16 53.19 19.2 3041.74 18.04 24.13 56.08 15.01 2970.91 13.09 10.16 31.85 28 3027.26 28.61 60.41
32 55.23 14.76 3046.39 14.17 26.92 56.27 10.48 2965.69 9.81 14.44 32.47 28.09 3040.88 28.54 58.08
64 54.57 15.13 3080.29 14.78 24.09 56.93 10.59 3013.58 9.92 10.63 32.61 28.43 3121.43 28.84 57.99
128 55.17 15.87 3135.47 16.25 25.89 57.62 11.4 3055.18 10.74 11.23 34.61 29.44 3149.81 29.94 59.19
256 60.5 23.32 3175.56 23.73 30.39 61.59 17.11 3415.46 16.28 17.02 35.36 37.4 3372.29 37.28 70.88
512 61.09 23.94 3260.95 25.53 31.83 62.57 17.53 3472.88 16.33 16.95 36.41 37.85 3440.21 38.33 72.22
1024 61.68 27.04 3381.46 28.17 37.06 64.53 19.45 3627.75 18.33 19 39 40.84 3581.93 43.65 75.29
2048 64.86 32.08 333.27 36.33 40.5 68.44 22.3 351.97 20.66 21.61 43.09 43.8 269.38 43.97 80.46
4096 73.54 70.33 316 79.9 62.19 82.37 41.57 316.02 40.62 43.11 60.21 62.83 255.91 66.02 131.74
8192 95.95 97.82 335.98 105.01 86.69 102.33 78.51 342.05 77.48 79.36 83.97 93.28 249.81 92.03 206.48
16384 142.11 148.03 363.3 141.99 138.27 144.87 117.42 361.95 128.78 118.53 128.79 153.17 285.62 150.66 312.6
32768 207.15 232.31 449.12 234.27 247.85 210.02 228.39 455.69 230.92 227.48 198.9 258.14 272.19 259.38 541.41
65536 351.84 445.15 660.17 448.37 483.22 334.68 447.73 655.33 450.52 453.41 413.93 478.04 311.21 481.86 1033.13
131072 651.62 852.74 1029.98 867.82 924.25 678.83 857.65 1190.75 865.7 863.35 650.46 911.67 375.7 923.71 2105.35
262144 1231.36 1797.35 1841.71 2215.56 1919.57 1219.81 1816.01 2103.55 2069.9 1828.65 1197.35 1892.03 525.66 515.77 612.8
524288 2340.9 4576.41 3004.23 3310.56 4201.39 2318.01 4547.64 3174.49 3075.04 4033.64 2306.51 4780.58 853.71 816.67 937.48
1048576 4583.49 11129.92 5640.45 5930.2 7340.64 4596.22 11060.72 5926.72 5613.32 7099.55 4550.83 11669.89 1486.86 1443.22 1754.3
2097152 9344.44 27166.48 10919.03 11127.96 14663.6 9325.93 26963.36 11557.22 10719.5 14321.43 9277.22 28208.35 2890.68 2801.46 3380.1
4194304 19739.33 59128.54 23342.24 22585.81 30994.53 19681.41 58428.17 23233.48 22028.57 30740.72 19529.45 61513.15 5774.03 5596.39 6390.48
8388608 39313.2 120206.48 48106.15 47613.05 66911.22 38846.54 117842.41 48155.47 45935.44 67247.75 38839.75 124625.58 11721.36 11419.28 12535.83
16777216 76291.31 238168.17 99857.18 100243.99 141740.63 75508.13 233854.54 99942 95872.96 141918.09 75220.6 246077.32 23729.49 23533.3 24778.92
33554432 149937.09 476270.12 202492.13 201082.87 297591.62 148326.39 465745.16 205321.21 196343.56 299316.15 146609.76 495000.19 47350.22 47048.28 49034.77
67108864 297359.72 944147.32 403895.11 412031.09 611721.39 293708.2 922229.21 427407.89 399506.25 617925.1 290812.97 985875.09 95915.53 95861.22 97139.08
