msize	ar_bycore_disabled0_alg6_scotch0	ar_bycore_disabled0_alg4_scotch0	ar_bycore_disabled0_alg3_scotch0	ar_bycore_disabled0_alg0_scotch0	ar_bycore_disabled0_alg0_scotch1	ar_bycore_disabled1_alg0_scotch0	ar_bynode_disabled0_alg6_scotch0	ar_bynode_disabled0_alg4_scotch0	ar_bynode_disabled0_alg3_scotch0	ar_bynode_disabled0_alg0_scotch0	ar_bynode_disabled0_alg0_scotch1	ar_bynode_disabled1_alg0_scotch0	ar_bysoc_disabled0_alg6_scotch0	ar_bysoc_disabled0_alg4_scotch0	ar_bysoc_disabled0_alg3_scotch0	ar_bysoc_disabled0_alg0_scotch0	ar_bysoc_disabled0_alg0_scotch1	ar_bysoc_disabled1_alg0_scotch0	bc_bycore_disabled0_alg5_scotch0	bc_bycore_disabled0_alg7_scotch0	bc_bycore_disabled0_alg8_scotch0	bc_bycore_disabled0_alg0_scotch0	bc_bycore_disabled0_alg0_scotch1	bc_bycore_disabled1_alg0_scotch0	bc_bynode_disabled0_alg5_scotch0	bc_bynode_disabled0_alg7_scotch0	bc_bynode_disabled0_alg8_scotch0	bc_bynode_disabled0_alg0_scotch0	bc_bynode_disabled0_alg0_scotch1	bc_bynode_disabled1_alg0_scotch0	bc_bysoc_disabled0_alg5_scotch0	bc_bysoc_disabled0_alg7_scotch0	bc_bysoc_disabled0_alg8_scotch0	bc_bysoc_disabled0_alg0_scotch0	bc_bysoc_disabled0_alg0_scotch1	bc_bysoc_disabled1_alg0_scotch0
4	434.68	334.29	311.1	311.1	245.53	129.83	304.26	294.08	239.66	239.66	235.54	157.89	248.6	280.63	314.71	248.6	223.65	127.39	61.04	39.91	3043.03	39.91	-1	13.97	60.19	58.53	3012.93	58.53	-1	63.84	63.38	46.67	2979.85	46.67	-1	23.68
8	238.91	232.36	230.64	230.64	164.93	114.94	243.03	238.7	209.36	209.36	160.82	190.68	228.95	226.78	235.42	226.78	177.67	114.89	65.12	43.45	3033.25	43.45	-1	11.56	42.48	46.64	3018.72	42.48	-1	62.19	65.62	50.63	2979.36	50.63	-1	23.04
16	240.06	231.17	233.51	231.17	165.53	168.43	245.35	241.27	211.85	211.85	162.39	147.79	232.88	227.69	236.46	227.69	161.93	183.68	59.18	37.5	3028.4	37.5	-1	11.34	42.34	46.58	3013.19	42.34	-1	63.21	60.89	45.19	2974.14	45.19	-1	22.63
32	233.39	230.87	233.12	230.87	164.82	119.07	260.36	250.72	208.67	208.67	171.79	146.56	232.86	229.58	235.55	229.58	163.24	115.63	59.86	37.79	3053.42	37.79	-1	16.38	43.01	46.61	3015.32	43.01	-1	62.64	62.14	45.69	2972.1	45.69	-1	26.16
64	247.79	269.34	259.79	247.79	166.52	118.22	254.3	260.72	247.78	247.78	166.01	147.79	269.11	227.09	265.98	227.09	161.31	120.36	59.31	37.65	3082.92	37.65	-1	11.88	42.87	46.67	3139.05	42.87	-1	62.77	61.94	45.3	3013.2	45.3	-1	23.46
128	243.96	240.09	240.68	240.09	201.51	120.93	252.07	250.27	216.55	216.55	212.88	153.43	239.15	240.58	241.59	239.15	178.52	118.76	61.14	38.66	3124.93	38.66	-1	12.53	44.15	47.57	3264.24	44.15	-1	63.64	63.03	46.22	3085.02	46.22	-1	24.59
256	290.94	257.41	252.11	252.11	183.08	127.5	273.8	273.86	229.49	229.49	184.03	178.81	263.57	252.42	256.64	252.42	200.87	126.66	63.68	45.52	3350.5	45.52	-1	18.24	48.02	55.58	3339.06	48.02	-1	76.29	68.77	56.76	3369.65	56.76	-1	29.81
512	270.59	267.57	264.67	264.67	190.72	156.91	332.47	341.2	240.13	240.13	194.65	234.04	273.2	262.83	267.01	262.83	191.11	157.29	64.19	46.15	3397.13	46.15	-1	18.3	49.44	56.47	3353.51	49.44	-1	77.39	71.99	57.36	3444.04	57.36	-1	30.4
1024	291.84	344.79	332.47	291.84	200.76	141.37	319.2	317.14	319.59	317.14	228.78	225.35	351.96	287.13	338.14	287.13	202.11	143.33	66.55	48.79	3561.26	48.79	-1	20.46	52.74	60.55	3541.22	52.74	-1	79.87	75.66	59.91	3575.32	59.91	-1	33.75
2048	340.47	333.33	328.83	328.83	-1	252.14	409.68	396.86	312.37	312.37	-1	270.05	341.69	381.16	328.78	328.78	-1	261.53	72.29	51.66	364.7	51.66	-1	23.34	61.08	63.28	364.93	61.08	-1	84.55	77.85	62.98	397.08	62.98	-1	38.06
4096	542.47	553.12	543.08	542.47	-1	328.12	646.97	645.05	547.92	547.92	-1	457.37	572.37	534.85	560.06	534.85	-1	337.02	87.19	73.61	371.2	73.61	-1	42.89	75.92	100.78	344.62	75.92	-1	136.55	91.35	92.83	364.93	91.35	-1	55.85
8192	570.8	105152.27	857.73	570.8	-1	515.67	553.49	110509.97	883.13	553.49	-1	765.22	601.32	98614.2	877.88	601.32	-1	524.58	118.1	105.63	379.91	105.63	-1	82.45	113.31	136.26	342.84	113.31	-1	202.25	127.22	126.33	380.51	126.33	-1	79.1
16384	670.55	98720.15	1472.14	670.55	-1	481.16	659.14	105883.67	1504.06	659.14	-1	640.58	733.22	117388.89	1523.49	733.22	-1	487.15	172.8	173.78	427.2	172.8	-1	131.69	171.17	211.37	388.14	171.17	-1	317.13	182.35	213.23	428.1	182.35	-1	136.03
32768	891.51	113863.34	2692.86	891.51	-1	470.8	874.58	106073.52	2803.05	874.58	-1	937.58	1029.51	124812.15	2793.35	1029.51	-1	503	264.39	304.54	539.96	264.39	-1	230.97	274.6	352.44	487.29	274.6	-1	557.28	282.03	366.17	528.12	282.03	-1	243.25
