msize rsa_r rsa_d rsa_pdif ring_r ring_d ring_pdif rdouble_r rdouble_d rdouble_pdif
# 4 32.96 25.36 -0.299684543 21.65 27.95 0.225402504 18.71 30.12 0.378818061
# 8 18.54 20.19 0.081723626 20.78 18.48 -0.124458874 18.34 33.53 0.45302714
# 16 19.26 19.23 -0.001560062 21.94 21.36 -0.027153558 18.91 20.63 0.083373728
# 32 21.24 20.8 -0.021153846 20.5 21.79 0.059201469 20.28 21.53 0.058058523
# 64 23.66 28.03 0.155904388 23.28 22.98 -0.01305483 21.61 25.52 0.153213166
# 128 33.65 24.45 -0.376278119 22.71 22.34 -0.01656222 24 25.14 0.045346062
# 256 26.94 28.72 0.061977716 26.04 57.19 0.544675643 24.97 27.91 0.105338588
# 512 33.51 29.44 -0.138247283 29.44 29.09 -0.012031626 32.05 29.79 -0.075864384
# 1024 46.51 39.41 -0.18015732 39.97 55.28 0.27695369 42.96 42.63 -0.007741027
# 2048 60.41 58.51 -0.032473082 62.27 59.56 -0.045500336 66.22 59.57 -0.111633373
# 4096 44.04 45.7 0.036323851 1218.71 1163.01 -0.047892967 115.66 106.56 -0.085397898
4 32.96 25.36 nan 21.65 27.95 0.225402504 18.71 30.12 0.378818061
8 18.54 20.19 nan 20.78 18.48 -0.124458874 18.34 33.53 0.45302714
16 19.26 19.23 nan 21.94 21.36 -0.027153558 18.91 20.63 0.083373728
32 21.24 20.8 nan 20.5 21.79 0.059201469 20.28 21.53 0.058058523
64 23.66 28.03 nan 23.28 22.98 -0.01305483 21.61 25.52 0.153213166
128 33.65 24.45 nan 22.71 22.34 -0.01656222 24 25.14 0.045346062
256 26.94 28.72 nan 26.04 57.19 0.544675643 24.97 27.91 0.105338588
512 33.51 29.44 nan 29.44 29.09 -0.012031626 32.05 29.79 -0.075864384
1024 46.51 39.41 nan 39.97 55.28 0.27695369 42.96 42.63 -0.007741027
2048 60.41 58.51 nan 62.27 59.56 -0.045500336 66.22 59.57 -0.111633373
4096 44.04 45.7 nan 1218.71 1163.01 -0.047892967 115.66 106.56 -0.085397898
8192 50.07 53.53 0.064636652 1083.87 1059.78 -0.022731133 242.14 207.03 -0.169588948
16384 57.43 61.44 0.065266927 1104.28 1123.37 0.016993511 478.89 426.54 -0.122731748
32768 72.12 72.62 0.006885156 1380.82 1348.9 -0.023663726 965.23 829.44 -0.163712867
65536 94.63 99.42 0.048179441 1230.64 1313.94 0.063397111 1959.64 1695.03 -0.156109331
131072 151.18 150.48 -0.004651781 2079.29 2167.02 0.040484167 4033 3510.5 -0.148839197
262144 258.83 277.2 0.066269841 4697.55 3108.03 -0.511423635 8105.39 6977.05 -0.161721645
524288 578.92 590.92 0.020307317 2346.04 3272.42 0.283087134 16516.47 14342.33 -0.151589037
1048576 1899.21 1607.61 -0.181387277 3014.49 3021.28 0.002247392 33832.76 29968.19 -0.128955736
2097152 4105.93 4588.11 0.105093383 5460.7 5513.99 0.009664508 69983.11 64123.56 -0.09137905
4194304 9703.51 9961.2 0.025869373 9649.24 10098.35 0.044473602 143352.28 131031.38 -0.094030148
8388608 21977.46 22085 0.004869368 18143.77 17473.03 -0.03838716 288459.26 263546.62 -0.094528399
16777216 43628.95 45326.67 0.037455211 33496.7 33113.36 -0.011576596 578673.68 517208.08 -0.118841144
33554432 96406.22 95574.74 -0.008699788 65877.22 65692.74 -0.002808225 1165762.86 1046474.07 -0.113991157
67108864 191391.58 193618.61 0.011502148 134124.95 135638.64 0.011159726 2329133.25 2090137.87 -0.114344314
134217728 380979.06 382659.39 0.00439119 262328.39 267349.08 0.01877953 4663060.41 4178173.27 -0.116052425
