msize rsa_r rsa_d rsa_dif ring_r ring_d ring_dif rdouble_r rdouble_d rdouble_dif
# 4 33.31 34.08 0.022593897 35.59 34.82 -0.022113728 36.4 36.11 -0.008031016
# 8 33.01 34.06 0.030827951 32.7 33.6 0.026785714 33.05 33.48 0.012843489
# 16 34.1 33.54 -0.016696482 33.54 35.65 0.059186536 33.38 33.11 -0.008154636
# 32 34.09 34.35 0.007569141 33.78 34.02 0.007054674 33.7 33.53 -0.005070086
# 64 35 34.29 -0.020705745 34.01 33.9 -0.003244838 33.75 34.16 0.012002342
# 128 35.6 34.72 -0.025345622 35.09 34.6 -0.01416185 34.34 34.96 0.017734554
# 256 42.49 42.39 -0.002359047 97.42 192.71 0.494473561 35.39 36.07 0.018852232
4 33.31 34.08 nan 35.59 34.82 -0.022113728 36.4 36.11 -0.008031016
8 33.01 34.06 nan 32.7 33.6 0.026785714 33.05 33.48 0.012843489
16 34.1 33.54 nan 33.54 35.65 0.059186536 33.38 33.11 -0.008154636
32 34.09 34.35 nan 33.78 34.02 0.007054674 33.7 33.53 -0.005070086
64 35 34.29 nan 34.01 33.9 -0.003244838 33.75 34.16 0.012002342
128 35.6 34.72 nan 35.09 34.6 -0.01416185 34.34 34.96 0.017734554
256 42.49 42.39 nan 97.42 192.71 0.494473561 35.39 36.07 0.018852232
512 43 53.21 0.191881225 98.59 197.51 0.500835401 36.9 36.67 -0.006272157
1024 44.31 46.35 0.044012945 101.42 194.12 0.477539666 38.88 38.87 -0.000257268
2048 47.35 48.47 0.023107077 128.09 198.85 0.355846115 44.37 44.27 -0.002258866
4096 57.38 54.17 -0.059257892 115.36 207.36 0.44367284 54.42 54.84 0.007658643
8192 73.92 70.68 -0.045840407 129.55 223.01 0.419084346 80.87 76.49 -0.057262387
16384 89.42 98.11 0.08857405 155.42 278.92 0.442779292 123.13 122.22 -0.00744559
32768 122.02 134.51 0.09285555 196.92 323.84 0.391921937 201.37 192.92 -0.043800539
65536 193 211.3 0.08660672 271.96 406.96 0.331727934 371.82 351.58 -0.05756869
131072 340.15 378.84 0.102127547 428.12 601.91 0.288730873 687.34 679.01 -0.012267861
262144 633.13 725.71 0.12757162 730.87 944.85 0.22646981 1364.25 1387.68 0.016884296
524288 1190.96 1416.88 0.15944893 1319.57 1600.12 0.1753306 2698.61 2754.78 0.020390013
1048576 2385.58 2789.13 0.144686694 2446.79 2891.59 0.153825404 5352.97 5516.02 0.029559356
2097152 4344.68 5163.86 0.158637144 4319.3 4778.72 0.096138715 10183.82 10628.84 0.041869103
4194304 8318.9 9969.61 0.16557418 8020.93 8715.03 0.079644017 20802.34 21698.3 0.041291714
8388608 16851.4 19598.07 0.140150025 15782.58 16809.71 0.061103374 44214.37 45151.55 0.02075632
16777216 33456.38 38932.27 0.140651701 33413.31 33590.25 0.0052676 91063.23 92119.06 0.01146158
33554432 74310.74 87276.34 0.148558017 76600.38 80418.09 0.047473274 185028.27 195053.97 0.05139962
67108864 151643.12 180411.23 0.159458533 155222.85 163757.7 0.052118771 371217.33 394000.76 0.057825853
134217728 298816.4 359325.68 0.168396759 311064.3 324719.68 0.042052825 737298.58 784611.95 0.060301618
# 268435456 592603.42 714927.15 0.171099573 631988.44 610480.24 -0.035231607 1467876.26 1566036.52 0.062680697
