msize rsa_r rsa_d rsa_pdif ring_r ring_d ring_pdif rdouble_r rdouble_d rdouble_pdif
# 4 21.62 42.6 0.492488263 22.04 40.09 0.450236967 19.38 37.45 0.482510013
# 8 18.8 18.56 -0.012931034 18.82 19.24 0.021829522 18.62 18.52 -0.005399568
# 16 18.93 19.39 0.023723569 22.08 18.89 -0.168872419 20.12 18.68 -0.077087794
# 32 20 19.85 -0.007556675 21.04 20.14 -0.04468719 20.12 19.64 -0.024439919
# 64 23.27 26 0.105 24.56 27.11 0.094061232 22.28 29.36 0.241144414
# 128 23.38 24.61 0.049979683 23.71 24.04 0.013727121 23.07 23.95 0.036743215
# 256 25.23 27.85 0.094075404 26.2 28.09 0.067283731 25.99 27.8 0.065107914
# 512 29.97 31.01 0.033537569 32.46 30.81 -0.053554041 31.75 31.08 -0.021557272
# 1024 42.27 43.73 0.033386691 42.8 43.7 0.020594966 46.79 42.96 -0.0891527
# 2048 73.37 64.84 -0.131554596 65.2 64.95 -0.003849115 77.84 64.38 -0.20907114
# 4096 43.89 49.04 0.105016313 1130.07 2200.88 0.486537203 155.28 120.42 -0.289486796
4 21.62 42.6 nan 22.04 40.09 0.450236967 19.38 37.45 0.482510013
8 18.8 18.56 nan 18.82 19.24 0.021829522 18.62 18.52 -0.005399568
16 18.93 19.39 nan 22.08 18.89 -0.168872419 20.12 18.68 -0.077087794
32 20 19.85 nan 21.04 20.14 -0.04468719 20.12 19.64 -0.024439919
64 23.27 26 nan 24.56 27.11 0.094061232 22.28 29.36 0.241144414
128 23.38 24.61 nan 23.71 24.04 0.013727121 23.07 23.95 0.036743215
256 25.23 27.85 nan 26.2 28.09 0.067283731 25.99 27.8 0.065107914
512 29.97 31.01 nan 32.46 30.81 -0.053554041 31.75 31.08 -0.021557272
1024 42.27 43.73 nan 42.8 43.7 0.020594966 46.79 42.96 -0.0891527
2048 73.37 64.84 nan 65.2 64.95 -0.003849115 77.84 64.38 -0.20907114
4096 43.89 49.04 nan 1130.07 2200.88 0.486537203 155.28 120.42 -0.289486796
8192 46.02 55 0.163272727 1055.15 2201.95 0.520811099 326.72 244.94 -0.333877684
16384 53.14 72.84 0.270455794 1120.41 2190.82 0.488588748 663.97 498.8 -0.331134723
32768 68.08 101.48 0.329128892 1327.89 3134.28 0.576333321 1342.8 1023.41 -0.312084111
65536 96.21 170.68 0.436313569 1221.72 2606.18 0.531221942 2751.36 2082.9 -0.320927553
131072 143.86 290.28 0.504409536 1877.53 3156.2 0.405129586 5708.07 4245.5 -0.344498881
262144 258.07 531.7 0.514632311 2008.89 3429.39 0.414213607 10372.36 8246.63 -0.257769537
524288 545.32 853.43 0.361025509 4720.25 4463.38 -0.057550556 20905.57 16885.82 -0.23805477
1048576 1263.09 1880.97 0.328490088 2959.92 7062.09 0.580871952 41913.68 33999 -0.232791553
2097152 3598.02 4285.25 0.16037104 4823.09 8557.7 0.436403473 86107.69 69983.22 -0.230404803
4194304 7283.11 8666.83 0.159656991 9209.25 14679.5 0.372645526 174563.58 144535.26 -0.207757747
8388608 15687.86 18563.16 0.154892809 14716.29 25627.38 0.42575909 350558.56 291648.26 -0.201990919
16777216 32794.45 37198.07 0.118383024 28613.77 50380.62 0.432048077 701589.92 592016.21 -0.185085658
33554432 70804.67 80242.11 0.117612062 56429.46 97734.91 0.422627391 1419623.91 1165994.93 -0.217521512
67108864 141495.5 160145.48 0.116456487 113305.09 195214.11 0.419585551 2837483.92 2333345.49 -0.216058201
134217728 283439.95 321930.33 0.119561211 222370.16 385268.81 0.422818162 5669560.84 4667625.95 -0.214656209
