msize rsa_r rsa_d rsa_dif ring_r ring_d ring_dif rdouble_r rdouble_d rdouble_dif
# 4 36.8 37.4 0.016042781 37.08 37.24 0.004296455 40.75 37.64 -0.082624867
# 8 35.79 35.93 0.003896465 35.53 35.46 -0.001974055 35.59 35.67 0.002242781
# 16 36.05 36.1 0.001385042 36.17 35.66 -0.014301739 35.54 36.65 0.030286494
# 32 36.5 36.81 0.008421625 36.73 36.63 -0.002730003 36.23 37 0.020810811
# 64 36.89 36.88 -0.00027115 38.11 36.85 -0.034192673 36.28 37.23 0.025517056
# 64 36.89 36.88 nan 38.11 36.85 -0.034192673 36.28 37.23 0.025517056
# 128 37.85 37.99 0.00368518 39.3 37.43 -0.049959925 37.46 37.86 0.01056524
4 36.8 37.4 nan 37.08 37.24 0.004296455 40.75 37.64 -0.082624867
8 35.79 35.93 nan 35.53 35.46 -0.001974055 35.59 35.67 0.002242781
16 36.05 36.1 nan 36.17 35.66 -0.014301739 35.54 36.65 0.030286494
32 36.5 36.81 nan 36.73 36.63 -0.002730003 36.23 37 0.020810811
64 36.89 36.88 nan 38.11 36.85 -0.034192673 36.28 37.23 0.025517056
128 37.85 37.99 nan 39.3 37.43 -0.049959925 37.46 37.86 0.01056524
256 45.15 47.23 nan 124.77 163.03 0.234680734 39.02 39.95 0.023279099
512 48.29 48.35 0.001240951 126.44 170.98 0.260498304 40 40.63 0.015505784
1024 49.57 50.35 0.015491559 143.58 178.68 0.196440564 42.49 43.35 0.019838524
2048 96.57 53.79 -0.795315114 158.35 207.03 0.235135005 49.35 48.87 -0.009821977
4096 59.28 61.29 0.032794909 151.23 195.81 0.22766968 59.61 58.1 -0.025989673
8192 67.63 78.84 0.142186707 177.12 233.79 0.242397023 85.23 82.18 -0.037113653
16384 86.65 90.31 0.040527073 201.03 257.64 0.219725198 112.55 112.46 -0.000800285
32768 128.44 134.71 0.046544429 249.53 311.17 0.198091076 188.31 175.06 -0.075688335
65536 205.29 218.57 0.060758567 338.3 423.28 0.200765451 334.99 308.14 -0.087135718
131072 357.63 384.06 0.068817372 512.8 609.06 0.158046826 660.9 623.83 -0.05942324
262144 664.8 704.2 0.055950014 839.33 965.62 0.130786438 1311.81 1195.92 -0.096904475
524288 1270.28 1263.61 -0.005278527 1448.37 1623.4 0.107816927 2587.9 2329.1 -0.111115882
1048576 2503.54 2505.79 0.00089792 2714.61 3031.84 0.10463283 5197.69 4757.68 -0.092484152
2097152 4437.84 4585.45 0.032190952 4753.07 5431.06 0.124835667 10023.95 9009.61 -0.11258423
4194304 8353.2 8459.86 0.012607774 8914.3 10443.85 0.146454612 19801.14 17842.85 -0.109752086
8388608 16956.89 16770.21 -0.011131644 17715.13 20212.62 0.123560924 41439.68 35420.23 -0.169943843
16777216 33375.06 33074.26 -0.009094686 35339.05 39980.65 0.116096162 86926.5 74006.12 -0.174585291
33554432 73031.05 73451.26 0.005720937 77683.14 83182.38 0.066110635 174841.04 168654.51 -0.036681675
67108864 150472.51 152451.76 0.012982795 159125.91 167907.97 0.052302818 354969.98 346743.53 -0.023724884
134217728 298581.69 302697.93 0.013598507 317119.3 330496.52 0.04047613 706558.17 693061.98 -0.01947328
# 268435456 596890.79 603264.5 0.010565366 633710.59 654311.15 0.031484348 1413865.5 1380185.73 -0.024402346
