
msize	bin_r	bin_d	bin_dif	k_r	k_d	k_dif	scar_r	scag_d	scag_dif
1	17.38	17.31	-0.004043905	14	13.88	-0.008645533	45.11	47.09	0.042047144
2	23.84	23.93	0.003760969	20.3	20.1	-0.009950249	75.81	77.41	0.020669164
4	25.62	23.89	-0.072415237	20.54	19.96	-0.029058116	75.73	77.69	0.025228472
8	25.08	23.9	-0.049372385	20.19	20.16	-0.001488095	76.3	77.85	0.019910083
16	17.11	17	-0.006470588	13.86	13.67	-0.013899049	44.71	47.6	0.060714286
32	17.03	17.15	0.006997085	13.85	13.72	-0.009475219	46.31	48.23	0.039809247
64	21.18	22.53	0.059920107	16.67	16.24	-0.026477833	37.5	38.56	0.027489627
128	22.17	23.66	0.062975486	18.07	16.91	-0.068598462	37.37	37.3	-0.001876676
256	22.64	27.6	0.179710145	19.05	17.69	-0.076879593	38.72	35.49	-0.091011553
512	29.95	39.76	0.246730382	23.9	22.94	-0.0418483	39.31	37.17	-0.057573312
1024	37.48	58.39	0.358109265	29.87	29.33	-0.018411183	45.1	43.04	-0.047862454
2048	56.38	101.91	0.446766755	48.71	47.9	-0.01691023	61.22	57.34	-0.06766655
4096	99.95	192.81	0.481614024	88.96	85.9	-0.035622817	94.96	90.5	-0.049281768
8192	179.03	354.18	0.494522559	159.62	154.9	-0.030471272	157.91	146.28	-0.079505059
16384	282	608.93	0.536892582	232.65	222.17	-0.047171085	277.53	258.34	-0.074281954
32768	559	1244.96	0.55098959	463.2	447.88	-0.034205591	533.82	485.87	-0.09868895
65536	1097.64	2529.46	0.566057578	908.45	879.5	-0.03291643	1035.83	965.75	-0.072565364
131072	2197.95	5239.45	0.580499862	1827.83	1774.43	-0.030094171	2070.46	1938.72	-0.067952051
262144	4400.34	10479.97	0.580119027	3670.53	3566.59	-0.029142683	4162.81	3903.6	-0.066402808
524288	8748.87	20968.35	0.5827583	7331.61	7183.53	-0.020613821	4530.76	4154.96	-0.090446117
1048576	977.91	1749.86	0.441149578	686.22	689.68	0.005016819	4902.21	4606.77	-0.064131702
2097152	1486.15	3197.51	0.535216465	1209.11	1215.26	0.005060645	5427.84	5378.36	-0.00919983
4194304	2552.75	5749.92	0.556037301	2418.22	2381.97	-0.015218496	5923.14	6590.6	0.101274543
8388608	4811.26	11337.44	0.57563083	5111.04	5054.11	-0.0112641	6900.89	9043.59	0.236930246
16777216	9440.15	22782.62	0.585642477	10164.78	10242.42	0.00758024	7230.18	12299.11	0.412137951
33554432	18908.55	46236.08	0.591043402	20870.11	21041.56	0.00814816	13423.77	23174.63	0.420755801
67108864	37743.24	96561.83	0.609128783	42590.43	42532.17	-0.001369787	26216.17	46045.65	0.430648281
134217728	77722.09	192279.69	0.595786274	84997.34	85137.47	0.001645926	51936.39	92303.17	0.437328209
