msize	bin_r	bin_d	bin_dif	k_r	k_d	k_dif	scar_r	scag_d	scag_dif
1	16.99	15.65	-0.085623003	14.07	13.83	-0.017353579	47.27	47.17	-0.002119992
2	23.95	23.38	-0.024379812	20.41	20.27	-0.006906759	77.38	77.29	-0.001164446
4	23.93	23.31	-0.026598027	20.71	20.26	-0.022211254	77.35	77.33	-0.000258632
8	23.89	23.41	-0.020504058	20.27	20.02	-0.012487512	77.93	77.78	-0.001928516
16	16.98	15.79	-0.075364155	13.77	13.7	-0.005109489	46.83	46.96	0.002768313
32	17.02	15.64	-0.088235294	13.82	13.77	-0.003631082	48.74	47.87	-0.018174222
64	22.1	20.79	-0.063011063	18.04	18.71	0.035809727	36.87	36.64	-0.006277293
128	22.77	21.83	-0.043060009	18.97	20	0.0515	36.36	35.06	-0.037079293
256	23.04	22.23	-0.036437247	19.71	25.78	0.23545384	37.62	37.16	-0.012378902
512	30.7	28.33	-0.083656901	25.2	38.44	0.344432882	39.72	37.68	-0.054140127
1024	37.58	35.87	-0.047672149	31.38	58	0.458965517	43.96	43.39	-0.013136667
2048	56.44	56.41	-0.000531821	50.02	104	0.519038462	60.78	60.44	-0.005625414
4096	103.95	102.35	-0.015632633	88.57	193.96	0.543359456	97.83	95.18	-0.027841984
8192	179.32	178.6	-0.004031355	161.33	369.17	0.562992659	161.76	162.2	0.0027127
16384	283.12	276.95	-0.02227839	237.8	696.24	0.658451109	294.31	294.55	0.000814802
32768	558.84	549.39	-0.017200896	468.17	1428.17	0.672188885	562.04	552.7	-0.01689886
65536	1094.38	1085.54	-0.008143412	922.09	2875.38	0.67931543	1103.57	1084.19	-0.017875096
131072	2202.04	2183	-0.008721942	1849.04	6003.57	0.692009921	2210.06	2204.92	-0.00233115
262144	4403.7	4387.34	-0.003728911	3725.99	12138.02	0.693031483	4445.99	4478.67	0.007296809
524288	8752.11	8718.66	-0.003836599	7414.82	24209.95	0.693728405	5099.89	5088.94	-0.002151725
1048576	975.92	981.61	0.005796599	686.47	2189.71	0.686501866	5895.16	5805.23	-0.015491204
2097152	1489.22	1596.24	0.067045056	1222.22	3921.43	0.688322882	6044.53	6004.66	-0.006639843
4194304	2555.61	2972.66	0.140295224	2412.95	7735.6	0.688072031	6389.88	6137.5	-0.041120978
8388608	4777.62	5610.05	0.148381922	5119.54	16304.93	0.686012758	6837.31	6069.64	-0.126477023
16777216	9416.71	10705.02	0.120346342	10228.24	35612.43	0.712790169	7123.79	5593.9	-0.273492554
33554432	18881.91	20527.05	0.080144979	21074.03	79355.31	0.734434532	13120.14	10100.48	-0.29896203
67108864	37731.24	40284.2	0.06337373	42750.38	159277.44	0.731598022	26035.91	18782.52	-0.38617768
134217728	77793.26	82305.8	0.054826513	85370.75	330856.12	0.741970165	50189.35	36458.06	-0.376632492
