msize bin_r bin_d bin_dif k_r k_d k_dif scag_r scag_d scag_dif
1 15.71 17.3 0.091907514 13.22 13.56 0.025073746 45.07 47.27 0.046541147
2 22.67 23.84 0.049077181 19.4 19.63 0.01171676 75.29 77.33 0.026380447
4 22.65 23.85 0.050314465 19.5 19.57 0.003576903 75.39 77.36 0.025465357
8 22.52 23.83 0.054972723 19.35 19.51 0.008200923 75.46 77.3 0.023803364
16 15.62 17.01 0.081716637 13.19 13.22 0.002269289 45.15 46.84 0.036080273
32 15.71 17.09 0.080748976 13.2 13.22 0.001512859 46.24 47.9 0.034655532
64 19.99 22.11 0.095884215 16.27 17.08 0.047423888 37.58 36.84 -0.020086862
128 22.06 23.49 0.060876969 17.54 18.26 0.039430449 37.62 37.29 -0.008849558
256 22.42 27.34 0.179956108 18.15 18.72 0.030448718 38.81 36.19 -0.072395689
512 28.33 37.83 0.251123447 23.16 24.21 0.043370508 40.5 39.51 -0.025056948
1024 35.77 51.51 0.305571734 30.11 30.45 0.011165846 46.51 43.81 -0.061629765
2048 56.68 88.66 0.360703812 48.61 49.66 0.021143778 63.23 57.59 -0.097933669
4096 101.36 174.5 0.419140401 86.61 89.62 0.033586253 96.14 92.14 -0.043412199
8192 180.29 313.65 0.425187311 157.74 160.52 0.017318714 160.63 150.4 -0.068018617
16384 284.42 605.79 0.530497367 233.49 229.55 -0.017164017 283.66 262.88 -0.079047474
32768 561.26 1220.46 0.540124215 465.43 461.39 -0.00875615 532.81 493.21 -0.080290343
65536 1092.09 2478.45 0.559365733 912.09 920.89 0.009555973 1038.85 982.66 -0.057181528
131072 2199.02 5105.4 0.569275669 1837.35 1860.89 0.012649861 2092.67 1976.51 -0.058770257
262144 4402.85 10281.6 0.571773848 3676.89 3740.67 0.017050421 4225.75 3988.94 -0.059366649
524288 8769.79 20525.91 0.572745374 7346.18 7415.94 0.009406764 4595.85 4220.21 -0.089009789
1048576 967.79 11676.79 0.917118489 613.34 613.87 0.000863375 4759.71 4613.08 -0.031785705
2097152 1510.31 3020.68 0.500009932 1070.22 1065.4 -0.004524122 5268.28 5258.42 -0.001875088
4194304 2677.27 5390.97 0.503378798 2251.73 2259.11 0.003266773 5906.02 6251.32 0.055236334
8388608 4983.46 10898.92 0.54275653 5027.65 4965.16 -0.012585697 6773.81 7877.6 0.140117548
16777216 9648.83 22639.34 0.573802505 10068.4 10038.74 -0.002954554 6652.1 9477.31 0.298102521
33554432 19017.6 46113.51 0.587591576 20812.05 20823.72 0.000560419 12000.1 17369.17 0.309114943
67108864 37903.46 94233.55 0.59777107 42528.28 42375.33 -0.003609411 22836.99 33044.9 0.308910301
134217728 78180.42 190720.2 0.590077926 84817.64 84712.75 -0.001238184 44424.05 65216.26 0.318819417
