msize	t_table	scotch	rdouble	ring	rsa	def	min	opt_alg	tt_pdif	s_pdif	opt_pdif
4	65.33	36.39	43.6	41.19	38.01	68.52	38.01	rsa	0.04655575	0.468914186	0.445271454
8	70.86	35.33	35.58	43.07	36.22	64.15	35.58	rdouble	-0.104598597	0.449259548	0.445362432
16	71.69	36.57	35.55	38.98	37.1	64.29	35.55	rdouble	-0.115103438	0.431171255	0.447036864
32	64.85	35.97	38.91	38.89	35.96	67.32	35.96	rsa	0.036690434	0.465686275	0.465834819
64	66.28	36.66	36.24	36.89	36.26	66	36.24	rdouble	-0.004242424	0.444545455	0.450909091
128	42.84	37.64	39.59	37.61	37.51	43.71	37.51	rsa	0.019903912	0.138869824	0.141843972
256	50.52	39.67	38.34	47.48	39.49	49.32	38.34	rdouble	-0.0243309	0.195660989	0.222627737
512	56.31	40.42	40.52	180.99	46.93	49.39	40.52	rdouble	-0.140109334	0.181615712	0.17959101
1024	50.86	42.52	44.06	196.32	50.16	60.47	44.06	rdouble	0.158921779	0.296841409	0.271374235
2048	173.82	521.47	50.33	175.13	55.06	176.17	50.33	rdouble	0.013339388	-1.960038599	0.714310041
4096	194.39	499.68	68.18	202.5	65.12	202.73	65.12	rsa	0.04113846	-1.46475608	0.67878459
8192	203.11	514.12	99.35	212.1	80.82	205.27	80.82	rsa	0.010522726	-1.504603693	0.606274663
16384	127.48	241.47	133.61	241.49	88.4	199.37	88.4	rsa	0.360585845	-0.21116517	0.5566033
32768	228.05	295.14	225.75	302.88	126.33	248.77	126.33	rsa	0.083289786	-0.186397074	0.492181533
65536	461.89	374.33	415.52	370.4	201.14	459.31	201.14	rsa	-0.005617121	0.185016655	0.562082254
131072	849.4	961	829.62	541.23	355.53	718.38	355.53	rsa	-0.182382583	-0.337732119	0.505094797
262144	640.83	829.91	1612.35	842.39	641.47	648.28	641.47	rsa	0.011491948	-0.280172148	0.01050472
524288	1209.92	1695.59	3276.64	1444.06	1206.39	1212.56	1206.39	rsa	0.002177212	-0.398355545	0.005088408
1048576	2441.85	4344.23	6588.61	2657.4	2456.77	2527.29	2456.77	rsa	0.033806963	-0.71892818	0.027903406
2097152	4458.96	6122.37	12933.7	4566.45	4432.14	4382.46	4432.14	rsa	-0.017455949	-0.397016744	-0.011336099
4194304	8601.9	11901.02	26717.71	8287.61	8611.1	8525.33	8287.61	ring	-0.008981471	-0.395960039	0.027883965
8388608	17011.82	23550.75	56723.87	16152.21	17030.82	16946.03	16152.21	ring	-0.003882325	-0.389750284	0.04684401
16777216	33908.86	47089.28	116164.51	31603.03	34478.69	33888.12	31603.03	ring	-0.000612014	-0.389551265	0.067430415
33554432	74778.78	103404.93	234475.01	81980.92	74736.02	74442.03	74736.02	rsa	-0.004523654	-0.389066499	-0.003949247
67108864	152627.99	212250.35	471716	159109.38	152943.8	151859.34	152943.8	rsa	-0.005061592	-0.397677285	-0.007141214
134217728	326636.26	441018.56	943244.43	336745.71	328462.63	330715.2	328462.63	rsa	0.012333694	-0.333529756	0.006811208
268435456	769596.68	950396.18	1900236.04	774461.59	769993.94	774653.51	769993.94	rsa	0.00652786	-0.226866164	0.006015038
