msize	t_table	scotch	rdouble	ring	rsa	def	min	opt_alg	tt_pdif	s_pdif	opt_pdif
4	38.5	43.36	41.25	40.62	41.02	42.07	40.62	ring	0.084858569	-0.03066318	0.034466366
8	39.05	42.16	39.98	38.12	38.17	37.68	38.12	ring	-0.036358811	-0.118895966	-0.011677282
16	40.37	43.85	38.26	39.11	38.39	38.02	38.26	rdouble	-0.061809574	-0.153340347	-0.006312467
32	40.4	41.01	38.16	43.48	39.21	38.27	38.16	rdouble	-0.055657173	-0.071596551	0.002874314
64	42	42.34	38.44	41.49	39.44	42.27	38.44	rdouble	0.006387509	-0.001656021	0.090607996
128	40.85	41.25	43.61	40.99	40.65	39.81	40.65	rsa	-0.026124089	-0.036171816	-0.021100226
256	42.28	50.22	41.65	135.02	50.4	42.02	41.65	rdouble	-0.00618753	-0.195145169	0.008805331
512	155.81	306.9	43.72	138.71	57.4	171.61	43.72	rdouble	0.092069227	-0.788357322	0.745236292
1024	133.8	262.91	44.98	147.62	51.52	187.53	44.98	rdouble	0.286514158	-0.401962353	0.760145043
2048	160.68	267.69	50.2	162.51	76.01	219.54	50.2	rdouble	0.26810604	-0.219322219	0.771340075
4096	152.56	283.22	66.02	157.22	77.03	202.7	66.02	rdouble	0.247360631	-0.397237296	0.674296991
8192	80.63	82.17	90.93	184.95	72.05	78.63	72.05	rsa	-0.025435584	-0.045020984	0.083683073
16384	114.79	119.77	114.94	210.05	96.01	114.42	96.01	rsa	-0.0032337	-0.04675756	0.160898444
32768	192.29	187.6	190.25	254.87	135.68	178.01	135.68	rsa	-0.080220212	-0.053873378	0.237795629
65536	343.47	330.95	340.12	338.96	211.99	314.85	211.99	rsa	-0.090900429	-0.051135461	0.326695252
131072	667.88	643.24	682.54	516.57	370.59	608.41	370.59	rsa	-0.097746585	-0.05724758	0.390887724
262144	689.52	717.08	1350.67	854.77	681.41	729.52	681.41	rsa	0.054830574	0.017052308	0.065947472
524288	1304.47	1421.95	2647.88	1477.05	1306.53	1286.94	1306.53	rsa	-0.013621459	-0.104907766	-0.015222155
1048576	2616.44	2755.85	5162.22	2778.73	2587.84	2617.21	2587.84	rsa	0.000294206	-0.05297244	0.011221874
2097152	4727.53	5135.63	9874.9	4864.78	4692.29	4754.31	4692.29	rsa	0.005632784	-0.080205119	0.013045005
4194304	8927.95	10006.44	19686.78	9111.91	8857.82	8866.66	8857.82	rsa	-0.006912411	-0.128546713	0.000996993
8388608	17691.39	19563.76	40756.92	18069.1	17611.76	17451.91	17611.76	rsa	-0.01372228	-0.121009677	-0.009159456
16777216	34777.74	39013.13	84878.02	36420.36	34600.06	34007.68	34600.06	rsa	-0.022643709	-0.147185871	-0.017419007
33554432	74564.13	87368.75	172278.2	78037.66	73858.16	73725.13	73858.16	rsa	-0.011380109	-0.185060644	-0.001804405
67108864	149597.88	179864.14	349969.57	159862.44	149465.49	151302.9	149465.49	rsa	0.011268918	-0.188768622	0.012143918
134217728	296602.06	357984.77	697879.22	316564.79	296647.9	300937.53	296647.9	rsa	0.014406545	-0.189565057	0.014254221
268435456	592165.3	710301.22	1386986.49	631594.31	591816.33	596991.61	591816.33	rsa	0.008084385	-0.189801009	0.008668933
