msize	t_table	scotch	bintree	knomial	scag	def	min	
1	16.97	17.5	19.56	16.2	90.55	18.03	16.2	
2	150.81	148.32	29	23.42	150.19	153.07	23.42	
4	150.95	148.12	28.27	23.85	151.59	153.52	23.85	
8	150.52	148.45	27.98	24.67	151.38	153.29	24.67
16	90.09	86.87	19.63	15.87	88.86	94.04	15.87
32	90.23	87.11	19.77	16.2	88.86	92.11	16.2	
64	133.67	137.59	24.83	19.44	123.69	142.54	19.44
128	27.72	29.61	27.15	19.93	50.82	28.82	19.93
256	28.89	30.82	28.49	20.59	51.09	36.28	20.59	
512	38.18	37.63	37.02	27.03	47.73	47.81	27.03	
1024	52.78	47.6	54.26	35.08	52.68	70.58	35.08	
2048	87.9	77.32	89.44	56.51	66.21	120.87	56.51	
4096	160.35	137.79	159.84	100.94	100.79	229.27	100.79	
8192	292.38	245.57	292.35	181.93	160.52	424.69	160.52	
16384	369.97	375.25	313.8	280.34	284.75	2782.9	280.34	
32768	624.31	970.63	620.8	572.12	533.76	1522	533.76	
65536	1123.77	1730.73	1206.17	1121.44	1040.33	1130.45	1040.33	
131072	2250.06	3502.12	2390.69	2244.45	2083.46	2261.68	2083.46	
262144	4526.6	7099.69	4770.41	4513.35	4196.05	4584.36	4196.05	
524288	9034.49	14097.57	9462.66	9000.11	4542.58	9122.86	4542.58	
1048576	963.31	1533.92	1189.21	991.93	4951.73	948.94	991.93	
2097152	1728.9	2797.6	1983.83	1729.41	5576.91	1682.64	1729.41	
4194304	3468.19	5599.69	3645.54	3464.89	6503.35	3418.93	3464.89	
8388608	7262.56	nan	6700.12	7045.06	7986.78	7114.64	6700.12	
16777216	14800.25	nan	13286.26	16610.83	10810.05	15276.23	10810.05
33554432	32702.89	nan	26423.24	30357.74	15565.06	30743.36	15565.06
67108864	62355.12	nan	53155.78	63116.42	30294.12	64207.55	30294.12	
134217728	126992.37	nan	108239.13	125413.86	59787.24	131283.46	59787.24	
