msize	t_table	scotch	bintree	knomial	scag	def	min	
1	17.01	18.45	18.65	16.83	91.11	17.64	16.83	
2	151.27	150.9	29.18	23.48	152.66	148.79	23.48	
4	151.73	149.75	29.45	26.35	155.51	148.74	26.35	
8	152.31	150.44	28.05	23.31	152.77	149.56	23.31	
16	90.04	90.5	20.5	17.54	93.48	88.71	17.54	
32	91	90.21	19.74	16.48	92.35	89.57	16.48	
64	136.69	113.59	24.69	21.46	144.86	142.34	21.46	
128	27.58	27.4	25.24	24.36	50.57	29.1	24.36	
256	28.89	28.69	29.27	24.78	49.2	29.02	24.78	
512	38	36.74	36.72	29.4	48.17	36.38	29.4	
1024	54.13	49	54.12	37.05	52.86	44.9	37.05	
2048	88.94	79.16	89.16	59.15	70.07	71.49	59.15	
4096	162	143.16	160.55	107.67	105.33	122.51	105.33	
8192	298.7	257.09	301.29	185.46	170.97	214.41	170.97	
16384	221.67	225.21	299.92	284.63	301.1	2761.99	284.63	
32768	590.95	1017.09	590.6	572.06	570.68	707.53	570.68	
65536	1117.16	1890.59	1135.71	1127.15	1107.6	2984.15	1107.6	
131072	2241.06	3840.24	2241.12	2259.81	2217.17	6103.52	2217.17
262144	4522.59	7748.46	4451.04	4550.03	4463.9	12325.71	4451.04	
524288	9097.77	15425.63	8830.03	9039.52	5162.76	24426.59	5162.76	
1048576	975.59	1718.07	1112.12	970.71	6041.2	2556.64	970.71	
2097152	1688.61	3152.97	2245.83	1805.26	6464.25	4873.18	1805.26
4194304	3456.05	6298.49	4063.93	3524.32	7472.18	9499.72	3524.32
8388608	7240.16	nan	7515.48	7177.95	9163.6	19840.99	7177.95	
16777216	14837.05	nan	14986.44	14949.23	14880.7	47351.86	14880.7
33554432	30774.19	nan	27438.04	31001.36	17807.11	nan	17807.11
67108864	63164.56	nan	55891.27	62497.78	35042.15	nan	35042.15	
134217728	125457.15	nan	110947.13	126860.89	68081.59	nan	68081.59
