msize	t_table	scotch	bintree	knomial	scag	def	min	opt_alg	tt_pdif	s_pdif	opt_pdif
1	16.63	18.82	20.91	16.64	90.89	18.44	16.64	knomial	0.098156182	-0.020607375	0.097613883
2	151.24	149.43	29.58	24.12	151.31	152.11	24.12	knomial	0.005719545	0.017618828	0.841430544
4	152.77	150.75	29.37	23.95	151.77	151.75	23.95	knomial	-0.006721582	0.006589786	0.842174629
8	151.11	149.93	29.31	24.68	150.32	152.1	24.68	knomial	0.006508876	0.01426693	0.83773833
16	89.34	88.05	20.73	16.24	88.65	90.53	16.24	knomial	0.013144814	0.027394234	0.820611952
32	89.67	88.13	20.92	16.05	89.15	91.56	16.05	knomial	0.020642202	0.037461774	0.824705111
64	110.06	141.77	26.88	21.24	97.24	146.17	21.24	knomial	0.247041117	0.030101936	0.854689745
128	27.85	31.91	28.43	21.96	51.22	31	21.96	knomial	0.101612903	-0.029354839	0.291612903
256	30.75	33.43	29.55	22.37	51.1	36.05	22.37	knomial	0.147018031	0.072676838	0.379472954
512	38.76	41.54	38.17	28.82	52.13	50.46	28.82	knomial	0.231866825	0.176773682	0.428854538
1024	54.41	54.16	53.46	36.35	56.74	68	36.35	knomial	0.199852941	0.203529412	0.465441176
2048	87.84	84.97	90.23	58.3	69.61	106.89	58.3	knomial	0.178220601	0.205070633	0.454579474
4096	165.24	150.26	164.86	106.21	102.6	196.53	102.6	scag	0.159212334	0.235434794	0.477942299
8192	301.56	265.49	301.09	188.58	169.13	354.25	169.13	scag	0.148736768	0.250557516	0.522568807
16384	386.02	385.16	323.82	291.24	287.04	2760.19	287.04	scag	0.860147309	0.860458881	0.896007159
32768	636.03	1058.24	636.49	589.28	543.03	1457.13	543.03	scag	0.563504972	0.273750455	0.627329065
65536	1130.39	2083.46	1239.25	1146.22	1043.17	1123.36	1043.17	scag	-0.006258012	-0.854668138	0.071384062
131072	2269.59	4235.29	2450.25	2301	2099.84	2263.96	2099.84	scag	-0.002486793	-0.870744183	0.072492447
262144	4568.43	8565.57	4881.82	4616.77	4230.72	4576.37	4230.72	scag	0.001735	-0.871695252	0.075529295
524288	9122.33	17064.45	9659.71	9183.81	4605.51	9092.11	4605.51	scag	-0.003323761	-0.876841569	0.493460814
# 1048576	967.64	14086.62	10323.35	943.68	4928.98	979.08	943.68	knomial	0.011684438	-13.38760878	0.036156392
1048576	967.64	14086.62	10323.35	943.68	4928.98	979.08	943.68	knomial	0.011684438	nan	0.036156392
2097152	1730.21	3153.4	1988.53	1690.76	5587.13	1749.66	1690.76	knomial	0.011116445	-0.802293017	0.033663683
4194304	3487.55	6406.86	3556.96	3422.66	6418.05	3531.46	3422.66	knomial	0.012433951	-0.814224145	0.030808787
8388608	7387.01	13681.95	6778.79	7065.66	7983.18	7071.81	6778.79	bintree	-0.044571333	-0.934716855	0.041434937
# 16777216	15056.47	nan	16465.87	14924.78	10801.38	15129.81	10801.38	scag	0.004847384	#VALUE!	0.28608621
# 33554432	30529.02	nan	27435.97	30677.72	15502.38	30781.31	15502.38	scag	0.008196207	#VALUE!	0.496370362
# 67108864	62442.48	nan	55137.41	62566.75	30393.24	62007.73	30393.24	scag	-0.007011223	#VALUE!	0.509847563
# 134217728	125803.68	nan	108421.12	125273.64	61266.75	125436.86	61266.75	scag	-0.00292434	#VALUE!	0.511572994
