msize	remap	scotch	def	remap_pdif	scotch_pdif
4	17.97	18.64	21.92	0.18020073	0.149635036
8	18.64	20.1	22.64	0.176678445	0.112190813
16	18.7	28.06	20.04	0.066866267	-0.400199601
32	19.65	18.98	20.36	0.034872299	0.067779961
64	25.97	26.23	24.79	-0.047599839	-0.058087939
128	27.29	24.48	26.33	-0.036460311	0.070262058
256	28.46	28.87	29.69	0.04142809	0.027618727
512	29.17	36.07	33.55	0.130551416	-0.075111773
1024	36.87	47.35	47.93	0.230753182	0.012100981
2048	92.04	124.95	77.87	-0.18196995	-0.604597406
4096	125.75	227.08	146.55	0.141931082	-0.549505288
8192	252.1	437	282.31	0.107010024	-0.54794375
16384	57.44	201.08	196.63	0.70787774	-0.022631338
32768	74.27	379.57	262.08	0.716613248	-0.44829823
65536	113.22	777.86	520.64	0.782536878	-0.49404579
131072	341.01	1553.56	1077.38	0.683482151	-0.441979617
262144	676.34	3125.13	2250.42	0.699460545	-0.388687445
524288	651.35	6414.13	4515.34	0.855747297	-0.420519828
1048576	1499.71	14233.18	9426.66	0.840907596	-0.509885792
2097152	3723.38	26289.33	17604.63	0.788499957	-0.493319087
4194304	8653.01	53086.76	37091.61	0.766712472	-0.43123364
8388608	19162.89	107289.07	73673.35	0.739893869	-0.456280595
16777216	38713.6	212832.32	146756.92	0.736205966	-0.450237031
33554432	83795.35	431830.05	299003.3	0.719751086	-0.444231719
67108864	166103.77	861116.21	582743.93	0.714962677	-0.477692286
134217728	330149.09	1719498.15	1167017.52	0.717100143	-0.473412456
268435456	665396.63	3435954.3	2329111.22	0.714313072	-0.475221222
