msize	remap	scotch	def	remap_pdif	scotch_pdif
1	5.36	8.66	7.58	0.292875989	-0.142480211
2	5.02	9.79	8.41	0.403091558	-0.164090369
4	4.9	9	7.3	0.328767123	-0.232876712
8	6.01	8.74	7.27	0.173314993	-0.202200825
16	5.03	33.15	7.61	0.339027595	-3.356110381
32	5.33	9.02	7.91	0.326169406	-0.140328698
64	5.97	9.56	8.52	0.299295775	-0.122065728
128	6.55	9.56	9.59	0.316996872	0.003128259
256	7.51	11.75	11.67	0.35646958	-0.006855184
512	7.85	11.9	14.09	0.442867282	0.155429383
1024	9.54	13.42	20.14	0.526315789	0.33366435
2048	12.81	16.99	30.61	0.581509311	0.44495263
4096	17.85	25.29	55.54	0.678610011	0.544652503
8192	24.51	40.05	98.02	0.74994899	0.591409916
16384	39.82	68.92	181.4	0.780485116	0.620066152
32768	67.33	135.55	342.23	0.803260965	0.603921339
65536	123.89	278.08	685.9	0.819376002	0.594576469
131072	261.67	589.58	1707.24	0.846729224	0.654658982
262144	513.78	1449.03	4330.56	0.881359455	0.665394314
524288	419.11	2831.79	526.08	0.203334094	-4.3828125
1048576	842.64	5782.56	1111.33	0.241773371	-4.203278954
2097152	1804.86	11587.26	2119.15	0.148309464	-4.46788099
4194304	3929.58	23563.84	4422.97	0.11155174	-4.327605659
8388608	8500.27	46609.93	9525.52	0.107631919	-3.893163838
16777216	17278	93780.66	19491.41	0.113558229	-3.811384092
33554432	35055.89	190071.26	38803.99	0.096590583	-3.898240104
67108864	71345.27	388077.75	76740.86	0.07030922	-4.056989849
134217728	143826.86	781763.13	154323.39	0.068016456	-4.065746223
268435456	290820.08	1561159.39	307088.32	0.052975769	-4.08374721
