msize socket_disabled0_alg5_scotch0 socket_disabled0_alg7_scotch0 socket_disabled0_alg8_scotch0 socket_disabled0_alg0_scotch0 socket_disabled1_alg0_scotch0 core_disabled0_alg5_scotch0 core_disabled0_alg7_scotch0 core_disabled0_alg8_scotch0 core_disabled0_alg0_scotch0 core_disabled1_alg0_scotch0 node_disabled0_alg5_scotch0 node_disabled0_alg7_scotch0 node_disabled0_alg8_scotch0 node_disabled0_alg0_scotch0 node_disabled1_alg0_scotch0 
4 49.09 14.18 1420.64 16.35 21.32 47.22 10.3 1425.48 10.29 10.1 30.16 30.27 1451.02 30.52 55.68
8 46.93 13.83 1426.31 13.44 21.71 43.73 10.25 1436.49 9.32 9.69 25.87 27.08 1449.27 26.85 52.9
16 49.14 12.81 1416.52 12.97 20.75 43.35 9.26 1428.12 9.1 9.08 36.47 25.69 1443.54 25.9 52.9
32 48.19 17.66 1413.84 18.43 21.28 49.64 14.18 1430.7 14.88 9.25 25.62 33.23 1450.65 32.14 56.02
64 47.49 13.52 1427.54 12.88 23.41 44.48 9.9 1441.93 9.31 12.27 25.98 25.78 1454.43 25.9 53.53
128 47.8 13.95 1456.21 14.97 23.55 44.54 10.28 1473.76 10.22 10.08 27.94 26.24 1481.75 26.2 54.13
256 49.69 23.95 1597.87 23.45 27.25 47.58 15.14 1486.59 14.32 14.6 28.4 33.99 1605.41 34.05 61.9
512 50.45 25.06 1620.68 23.77 28.28 47.94 15.49 1524.4 14.47 15.05 29.54 34.43 1627.31 34.66 63.02
1024 52.63 28.68 290.24 28.28 31.83 49.35 17.6 289.3 16.42 17.03 31.92 37.03 189.38 36.8 65.27
2048 55.07 32.81 292.46 37.24 36.51 51.83 19.47 293.87 18.27 19.26 35.75 38.91 184.73 39.68 69.54
4096 61.64 53.62 301.25 54.56 49.66 55.18 34.88 300.89 34.3 38.15 45.59 53.56 187.87 54.91 110.75
8192 83.89 74.43 319.96 75.28 68.03 75.66 54.05 315.36 52.32 65.3 68.06 77.9 193.24 79.34 165.3
16384 121.93 114.08 368.07 121.88 119.81 112.67 104.12 355.68 101.17 104.55 103.71 131.82 207.27 131.28 266.36
32768 175.55 202.47 466.64 205.4 217.96 164.14 194.72 438.53 190.82 196.31 163.48 231.25 234.94 227.36 465.8
65536 290.16 394.73 696.99 392.91 425.83 288 386.73 642.6 377.29 386.15 285.6 431.07 264.24 422.88 890.01
131072 566.29 751.89 1139.3 739.5 813.29 569.27 750.16 1061.25 723.81 729.31 547.89 812.92 327.06 802.17 1848.39
262144 1068.65 1557.56 1994.87 1521.85 1675.1 1065.14 1558.22 1889.18 1496.74 1505.72 1044.47 1606.51 466.89 1572.33 4089.97
524288 2056.61 3981.79 3468.15 3531.21 3608.89 2062.84 3987.64 3267.36 3440.55 3439.79 1966.3 4127.23 781.05 792.75 872.82
1048576 4065.26 9464.22 6616.51 6714.73 7241.71 4101.15 9492.94 5963.02 6331.52 7165.56 3906.56 9944.17 1386.92 1397.34 1629.87
2097152 8377.74 21335.83 12934.41 13060.83 14741.19 8401.81 21258.77 11651.26 11810.31 14092.48 8008.18 22696.6 2746.91 2930.49 3278.1
4194304 17695.31 45040.85 26345.86 27100.69 29616.89 17725.69 45043.97 24562.37 24382.88 29176.68 16912.59 47349.57 5598.17 5521.55 6221.59
8388608 35322.22 89054.77 53884.28 56442.36 62558.58 35260.02 89329.42 52460.28 51165.06 61913.51 33675.54 94844.67 11363.56 11197.75 12182.14
16777216 67986.94 175249.15 112958.76 118264.38 136632.5 68141.54 175820.87 109808.53 107521.85 133900.21 64732.49 187739.3 23074.71 23353.14 24516.92
33554432 132586.71 343656.93 232475.55 243195.97 287123.78 132731.44 345022.36 221341.78 219107.65 289280.3 125898.68 370287.97 46212.7 46577.06 48785.36
67108864 262889.52 685358.39 472300.68 479457.68 596061.78 262530.2 685642.87 454786.43 448882.98 595397.91 248863.67 733759.3 94130.8 93968.53 96382.7
