msize socket_disabled0_alg5_scotch0 socket_disabled0_alg7_scotch0 socket_disabled0_alg8_scotch0 socket_disabled0_alg0_scotch0 socket_disabled1_alg0_scotch0 core_disabled0_alg5_scotch0 core_disabled0_alg7_scotch0 core_disabled0_alg8_scotch0 core_disabled0_alg0_scotch0 core_disabled1_alg0_scotch0 node_disabled0_alg5_scotch0 node_disabled0_alg7_scotch0 node_disabled0_alg8_scotch0 node_disabled0_alg0_scotch0 node_disabled1_alg0_scotch0 
4 105.31 91.77 310.3 91.77 314.48 104.71 97.04 307.08 97.04 307.3 112.95 89.97 317.5 89.97 322.02
8 103.69 90.47 261.98 90.47 270.95 99.39 90.57 265.34 90.57 268.31 110.52 89 272.64 89 273.09
16 103.14 88.26 276.57 88.26 281.71 96.92 91.39 278.24 91.39 281.19 105.75 86.67 302.82 86.67 285.51
32 102.57 88.54 275.4 88.54 282.93 96.92 91.9 277.56 91.9 282.35 106.85 87.24 296.17 87.24 284.81
64 104.61 90.23 289.85 90.23 294.64 98.8 92.82 289.26 92.82 291.66 110.04 88.01 292.43 88.01 302.16
128 105.31 91.61 292.13 91.61 126.57 100.39 94.03 285.59 94.03 126.47 111.52 89.27 328.82 89.27 134.34
256 108.17 95.33 293.58 95.33 129.37 103.08 97.93 287.62 97.93 130.21 113.8 92.52 290.51 92.52 130.21
512 110.02 95.89 317.6 95.89 130.68 104.51 98.29 304.04 98.29 131.31 116.58 93.98 329.33 93.98 131.42
1024 114.55 98.76 296.25 98.76 138.6 109.47 102.34 288.66 102.34 136.71 120.85 97.87 277.93 97.87 136.62
2048 125.98 108.39 299.37 108.39 150.83 120.39 111.03 291.43 111.03 148.1 129.88 107.45 282.62 107.45 149.28
4096 203.66 170.61 305.8 170.61 237.9 189.95 184.31 296.44 184.31 237.55 197.49 175.62 291.66 175.62 226.33
8192 303.88 258.92 324.75 258.92 345.4 283.66 276.07 313.67 276.07 347.28 286.22 264.48 426.93 264.48 321.23
16384 463.33 424.43 375.93 375.93 4470.46 429.12 458.66 364.72 364.72 4492.99 426.77 458.58 364.37 364.37 4474.94
32768 804.02 758.11 493.1 493.1 916.25 743.69 819.29 483.63 483.63 919.4 722.21 808.55 481.4 481.4 834.18
65536 1490.6 1428.15 743.01 743.01 1139.33 1372.95 1540.2 724.14 724.14 1140.86 1316.92 1508.66 727.62 727.62 2415.04
131072 2834.73 2767.73 1229.12 1229.12 2166.96 2617.6 2992.06 1201.76 1201.76 2166.05 2510.45 2908.09 1235.59 1235.59 4631.47
262144 5537.07 5948.98 2204.79 2204.79 4537.67 5116.63 6535.28 2163.05 2163.05 4499.38 4890.94 6001.56 2208.85 2208.85 7688.84
524288 10986.51 15368.04 2716.1 2716.1 10823.23 10140.36 17141.05 2690.87 2690.87 10811.9 9666.78 14559.31 2631.73 2631.73 15333.21
1048576 9866.22 4482.27 3583.8 3583.8 1128.56 7025.91 19245.24 3499.9 3499.9 1091.81 8007.93 5538.24 3735.49 3735.49 18129.97
2097152 3302.5 2822.41 4900.16 2822.41 2039.88 2757.47 2783.33 4854.57 2757.47 2052.6 2990.18 3635.14 5018.79 2990.18 5645.91
4194304 6556.39 5805.14 7347.02 5805.14 4549.4 5138.72 5721.16 7291.23 5138.72 4435.53 5826.66 7267.72 7920.04 5826.66 13180.1
8388608 14523.59 12857.31 11593.53 11593.53 8533.32 10398.96 12924.92 11658.35 10398.96 8485.32 11244.89 14310.7 13589.21 11244.89 25100.25
16777216 33110.6 29514.48 20657.92 20657.92 18842.36 26076.53 29971.92 20856.3 20856.3 17919.1 23539.06 29816.16 24039.12 23539.06 46855.11
33554432 70167.57 60149.36 43574.99 43574.99 47427.98 55356.76 62912.88 42686.92 42686.92 47078.79 49365.88 61187.88 50619.07 49365.88 92702.08
67108864 144867.05 118564.95 93598.52 93598.52 92668.94 118213.74 124024.45 110280.97 110280.97 89068.76 104383.03 123848.52 112546.13 104383.03 181937.38
134217728 292883.27 234730.15 202211.73 202211.73 178434.63 237004.58 248471.13 184553.6 184553.6 173990.9 210187.76 248109.58 214549.16 210187.76 359726.92
268435456 577602.67 493192.16 375691.57 375691.57 358919.4 470088.96 521839.06 360868.25 360868.25 356141.53 408410.04 538987.29 411956.64 408410.04 716219.47
